"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","법인설립목적","허가조건","법인해산일자","법인명",
"1","지방문화원","03_07_14_P","6530000","A0200642000020070003","1965-04-29","","01","영업/정상","1","","","","","","","","","강원특별자치도 강릉시 교동 1785번지","강원특별자치도 강릉시 하슬라로 96 (교동)","","강릉문화원","2007-05-18 11:03:12","I","2023-06-13 00:00:00","","365058.027726582","474569.839763638","문화(사단)","문화진흥 및 지역문화 발전","","","강릉문화원",
"2","지방문화원","03_07_14_P","6530000","A0200642000020070010","1956-05-25","","01","영업/정상","1","","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 961번지 1호","강원특별자치도 영월군 영월읍 단종로34번길 20","","영월문화원","2007-05-18 11:36:28","I","2023-06-13 00:00:00","","330248.053331111","410412.556970177","문화(사단)","문화진흥 및 지역문화 발전","","","영월문화원",
"3","지방문화원","03_07_14_P","6530000","A0200642000020070011","1964-12-31","","01","영업/정상","1","","","","","","","","","강원특별자치도 평창군 평창읍 종부리 596번지 4호","강원특별자치도 평창군 평창읍 문화예술길 51","","평창문화원","2007-05-18 11:38:32","I","2023-06-13 00:00:00","","323138.836564912","429774.330692547","문화(사단)","문화진흥 및 지역문화 발전","","","평창문화원",
"4","지방문화원","03_07_14_P","6530000","A0200642000020070012","1983-08-20","","01","영업/정상","1","","","","","","","","","강원특별자치도 정선군 정선읍 봉양리 318번지 3호","강원특별자치도 정선군 정선읍 봉양5길 43","","정선문화원","2014-01-02 11:30:30","I","2023-06-13 00:00:00","","347121.231508387","432269.641564985","문화(사단)","문화진흥 및 지역문화 발전","","","정선문화원",
"5","지방문화원","03_07_14_P","6530000","A0200642000020070013","1969-10-06","","01","영업/정상","1","","","","","","","","","강원특별자치도 철원군 갈말읍 신철원리 649번지","강원특별자치도 철원군 갈말읍 삼부연로 51","","철원문화원","2007-05-18 11:41:36","I","2023-06-13 00:00:00","","227374.907791757","516009.653766975","문화(사단)","문화진흥 및 지역문화 발전","","","철원문화원",
"6","지방문화원","03_07_14_P","6530000","A0200642000020070014","1969-10-06","","01","영업/정상","1","","","","","","","","","강원특별자치도 화천군 화천읍 상리 1번지","강원특별자치도 화천군 화천읍 상승로 91","","화천문화원","2014-01-02 12:28:46","I","2023-06-13 00:00:00","","261746.630965855","511994.483136227","문화(사단)","문화진흥 및 지역문화 발전","","","화천문화원",
"7","지방문화원","03_07_14_P","6530000","A0200642000020070015","1963-08-01","","01","영업/정상","1","","","","","","","","","강원특별자치도 양구군 양구읍 상리 394번지 14호","강원특별자치도 양구군 양구읍 비봉로73번길 4","","양구문화원","2014-01-02 11:16:23","I","2023-06-13 00:00:00","","286252.145920008","512237.930386482","문화(사단)","문화진흥 및 지역문화 발전","","","양구문화원",
"8","지방문화원","03_07_14_P","6530000","A0200642000020070016","1983-06-10","","01","영업/정상","1","","","","","","","","","강원특별자치도 인제군 인제읍 상동리 346번지 2호","강원특별자치도 인제군 인제읍 인제로 185","","인제문화원","2014-01-02 11:18:42","I","2023-06-13 00:00:00","","","","문화(사단)","문화진흥 및 지역문화 발전","","","인제문화원",
"9","지방문화원","03_07_14_P","6530000","A0200642000020070017","1984-01-06","","01","영업/정상","1","","","","","","","","","강원특별자치도 고성군 간성읍 하리 27번지 1호","강원특별자치도 고성군 간성읍 간성로 71-7","","고성문화원","2014-01-02 10:20:58","I","2023-06-13 00:00:00","","328115.668960035","542759.329132853","문화(사단)","문화진흥 및 지역문화 발전","","","고성문화원",
"10","지방문화원","03_07_14_P","6530000","A0200642000020070018","1971-05-03","","01","영업/정상","1","","","","","","","","","강원특별자치도 양양군 양양읍 서문리 182번지 1호","강원특별자치도 양양군 양양읍 양양로 114-5","","양양문화원","2014-01-02 11:20:58","I","2023-06-13 00:00:00","","341771.988056478","509156.637982626","문화(사단)","문화진흥 및 지역문화 발전","","","양양문화원",
