"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물배급업","03_10_02_P","4181000","CDFF1241112014000001","2014-04-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 ***-* 춘천축협효자지점","강원특별자치도 춘천시 효자로 ***, 춘천축협효자지점 *층 (효자동)","24329","한테크 주식회사","2022-06-28 09:21:56","I","2023-06-13 00:00:00","","264563.94245221","486040.71272591","비디오물배급업","","0","","비디오CD,DVD등 영상물","220","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","비디오물배급업","03_10_02_P","4181000","CDFF1241112015000001","2015-02-10","","01","영업/정상","13","영업중","","","","","033)817-2336","","","강원특별자치도 춘천시 칠전동 ***-* *층","강원특별자치도 춘천시 칠전서길 **-*, *층 (칠전동)","24457","강원미디어홍보 협동조합","2018-07-11 17:49:39","I","2023-06-13 00:00:00","","262696.28","482327.29","비디오물배급업","","3","기타","방송,영화,광고,홍보영상,비디오물제작 및 배급","413.84","3","0","사무실","0","0","0","0","","","","","","","","","","","","0","","","","","","일반상업지역",
"3","비디오물배급업","03_10_02_P","4181000","CDFF1241112019000001","2019-05-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 벌말길 **-* (석사동)","24383","자인 이엔엠(Zain E&M)","2021-05-04 13:34:12","I","2023-06-13 00:00:00","","265359.897779393","484472.741961012","비디오물배급업","","0","","비디오물 배급업","50","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","비디오물배급업","03_10_02_P","4181000","CDFF1241112021000001","2020-02-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 삭주로***번길 **, 강원디자인진흥원 *층 *호 (후평동)","24232","주식회사 예술공공","2021-05-04 14:58:16","I","2023-06-13 00:00:00","","265606.315410307","487746.76318291","비디오물배급업","","0","","멀티미디어콘텐츠,비디오영상","93.8","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","비디오물배급업","03_10_02_P","4181000","CDFF1241112023000001","2023-03-06","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 석사동 ***-* ***호","강원특별자치도 춘천시 우석로 **, ***호 (석사동)","24324","도기컴퍼니","2023-03-06 16:24:44","I","2023-06-13 00:00:00","","266157.13614309","484957.28729941","비디오물배급업","","0","","비디오물","26.44","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","비디오물배급업","03_10_02_P","4181000","CDFF1241112023000002","2023-04-14","","01","영업/정상","13","영업중","","","","","033-255-5390","","","강원특별자치도 춘천시 후평동 ***-** 후평공단 *동 *층 *호","강원특별자치도 춘천시 후석로***번길 **, 후평공단 *동 *층 *호 (후평동)","24232","스탠딩플러스","2023-04-14 09:22:15","I","2023-06-13 00:00:00","","265337.030473427","487891.43582197","비디오물배급업","","0","","비디오물","300","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","비디오물배급업","03_10_02_P","4191000","CDFF1241112017000001","2017-01-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 흥업면 매지리 ****","강원특별자치도 원주시 흥업면 연세대길 *, *층 ***호 (연세대학교)","26493","FILMMONG(필름몽)","2017-01-23 17:28:33","I","2023-06-13 00:00:00","","279854.561886195","420213.086562055","비디오물배급업","","0","기타","드라마, CF, 홍보물","42.23","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","자연녹지지역",
"8","비디오물배급업","03_10_02_P","4191000","CDFF1241112018000001","2018-10-12","","01","영업/정상","13","영업중","","","","","033-764-9637","","","강원특별자치도 원주시 판부면 서곡리 ****-* *층","강원특별자치도 원주시 판부면 용수골길 ***, *층","26402","미디어나무 주식회사","2018-10-12 14:28:22","I","2023-06-13 00:00:00","","283301.372892476","420551.455298838","비디오물배급업","","2","","영상 컨텐츠","114.15","2","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","관리지역",
"9","비디오물배급업","03_10_02_P","4191000","CDFF1241112019000001","2019-10-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 ****-** *층 ***호","강원특별자치도 원주시 봉바위길 *, *층 ***호 (무실동)","26393","주식회사 디그램","2019-10-15 13:27:01","I","2023-06-13 00:00:00","","282464.174356121","426061.939803704","비디오물배급업","","0","","비디오물, 영상, 영화, TV, SNS 배급","59.5","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","비디오물배급업","03_10_02_P","4191000","CDFF1241112025000001","2025-04-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 소초면 흥양리 **-*","강원특별자치도 원주시 소초면 황골로 ***-*, *층","26310","미디어 하루","2025-04-08 09:15:27","I","2025-04-10 00:11:01","","289686.154535164","429503.900538922","비디오물배급업","","0","","영화제작, 영화배급","42","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
