"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2023-00003","2023-03-27","","01","영업/정상","01","영업","","","","","","137.40","","강원특별자치도 춘천시 소양로*가 ***-*","강원특별자치도 춘천시 중앙로 ***, *층 (소양로*가)","24276","에이치엘팜텍","2025-02-26 15:12:38","U","2025-02-28 02:40:00","건강기능식품유통전문판매업","263353.426437323","486214.154457271","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"2","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2023-00004","2023-04-12","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 춘천시 효자동 ***-* ***호","강원특별자치도 춘천시 강원대학길 *, 보듬관 ***호 (효자동)","24341","(주)코리아베스트원","2023-04-13 14:31:57","I","2023-06-13 00:00:00","건강기능식품유통전문판매업","265481.557982219","485420.871953344","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2023-00005","2023-04-13","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 춘천시 근화동 ***-* 춘천 L-타워 ****호","강원특별자치도 춘천시 공지로 ***, 춘천 L-타워 ****호 (근화동)","24360","(주)램바이오","2024-09-11 11:25:51","U","2024-09-13 02:40:00","건강기능식품유통전문판매업","262954.90876885","485950.774776057","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2023-00006","2023-04-19","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 춘천시 온의동 ***-* ***호","강원특별자치도 춘천시 춘주로**번길 **-*, ***호 (온의동)","24438","주식회사 더마솔루션","2025-06-12 16:21:04","U","2025-06-15 02:40:00","건강기능식품유통전문판매업","263153.073096864","484418.826622224","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2023-00007","2023-05-22","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 춘천시 온의동 ***-* ***호","강원특별자치도 춘천시 온의로 **, ***호 (온의동)","24431","주식회사 가호","2025-03-31 17:17:31","U","2025-04-02 02:40:00","건강기능식품유통전문판매업","262652.344283776","484334.172220142","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2018-00004","2018-10-19","","01","영업/정상","01","영업","","","","","033 258 6325","","","강원특별자치도 춘천시 신북읍 율문리 ***","강원특별자치도 춘천시 신북읍 신북로 **-**, 벤처*공장 ***호","24206","(주)에스티알바이오텍","2025-10-15 09:13:14","U","2025-10-17 02:40:00","건강기능식품유통전문판매업","265906.685991406","492278.551903287","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2020-00002","2020-02-28","","01","영업/정상","01","영업","","","","","033 255 1214","","","강원특별자치도 춘천시 신동면 혈동리 ***-*","강원특별자치도 춘천시 신동면 한치로 ***","24411","농업회사법인강원양봉(주)","2024-06-24 11:43:23","U","2024-06-26 02:40:00","건강기능식품유통전문판매업","260460.584572085","477357.733911501","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2021-00002","2021-01-29","","01","영업/정상","01","영업","","","","","033 2411408","","","강원특별자치도 춘천시 우두동 ****-*","강원특별자치도 춘천시 영서로****번길 **, *층 (우두동)","24237","유한회사 올더파인더","2021-02-01 13:07:27","I","2023-06-13 00:00:00","건강기능식품유통전문판매업","263847.125209576","488856.86609769","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"9","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2021-00004","2021-11-10","","01","영업/정상","01","영업","","","","","033 262 7500","","","강원특별자치도 춘천시 사농동 ***-*","강원특별자치도 춘천시 우두로 ** (사농동)","24219","주식회사 휘나리","2025-02-05 16:53:36","U","2025-02-07 02:40:00","건강기능식품유통전문판매업","263871.920738153","490296.865962252","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2022-00001","2022-04-28","","01","영업/정상","01","영업","","","","","033 250 8324","","","강원특별자치도 춘천시 신북읍 천전리 ***-* ***호","강원특별자치도 춘천시 신북읍 배후령길 **-**, 바이오융합관 ***호","24204","주식회사 닥터오레고닌","2025-07-18 09:59:59","U","2025-07-20 02:40:00","건강기능식품유통전문판매업","268751.556711634","493328.976712412","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"11","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2012-00001","2012-03-13","","01","영업/정상","01","영업","","","","","","1137.00","","강원특별자치도 춘천시 동내면 거두리 ****","강원특별자치도 춘천시 동내면 거두단지*길 **","24398","한국코러스주식회사 건강기능식품사업부","2024-12-24 17:12:00","U","2024-12-28 02:40:00","건강기능식품유통전문판매업","268362.87996105","485204.261141383","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"12","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2015-00001","2015-01-23","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계농공로 *** (퇴계동)","24427","(주)이롬글로벌","2025-09-19 16:25:29","U","2025-09-21 02:40:00","건강기능식품유통전문판매업","265170.530099755","482597.86742117","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"13","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2017-00005","2017-11-15","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 소양강로 **, 바이오타운 BIO-*동 ***호 (후평동)","24232","(주)더밸류바이오텍","2025-06-16 10:49:28","U","2025-06-18 02:40:00","건강기능식품유통전문판매업","265331.3469315","487999.802568208","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"14","건강기능식품유통전문판매업","07_22_02_P","4181000","4181000-135-2018-00002","2018-02-12","","01","영업/정상","01","영업","","","","","033  2441155","5.60","","강원특별자치도 춘천시 소양로*가 ***-**","강원특별자치도 춘천시 후석로 *** (소양로*가)","24248","주식회사도울","2018-02-12 16:47:36","I","2023-06-13 00:00:00","건강기능식품유통전문판매업","264119.442267128","488158.665828783","건강기능식품유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
