"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품소분업","07_22_08_P","4181000","4181000-109-2023-00005","2023-08-31","","01","영업/정상","01","영업","","","","","","25.00","","강원특별자치도 춘천시 소양로1가 102-10","강원특별자치도 춘천시 번개시장길 35 (소양로1가)","24247","영승수산","2023-08-31 11:43:28","I","2023-09-02 00:18:46","식품소분업","263872.563528877","488001.273872574","식품소분업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"2","식품소분업","07_22_08_P","4181000","4181000-109-2023-00004","2023-08-22","","01","영업/정상","01","영업","","","","","","180.00","","강원특별자치도 춘천시 근화동 733-1","강원특별자치도 춘천시 중앙로166번길 32-5 (근화동)","24275","장수식품","2024-06-28 11:53:22","U","2024-06-30 02:40:00","식품소분업","","","식품소분업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"3","식품소분업","07_22_08_P","4181000","4181000-109-2024-00008","2024-09-02","","01","영업/정상","01","영업","","","","","033 261 3174","4.62","","강원특별자치도 춘천시 서면 당림리 280-2","강원특별자치도 춘천시 서면 경춘로 1068, 1층","24463","하이드온부쉬","2024-09-02 11:25:34","I","2024-09-04 00:13:26","식품소분업","255009.575647989","480226.018833084","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"4","식품소분업","07_22_08_P","4181000","4181000-109-2024-00010","2024-11-14","","01","영업/정상","01","영업","","","","","","117.04","","강원특별자치도 춘천시 동면 감정리 377-1","강원특별자치도 춘천시 동면 가락재로 99-10, 1층","24211","농업회사법인 텃밭농산 주식회사","2025-02-24 16:13:22","U","2025-02-26 02:40:00","식품소분업","","","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","3.06","","","",
"5","식품소분업","07_22_08_P","4181000","4181000-109-2024-00009","2024-09-09","","01","영업/정상","01","영업","","","","","","98.00","","강원특별자치도 춘천시 신북읍 율문리 28-3","강원특별자치도 춘천시 신북읍 신샘밭로 505-5, 1층","24205","(주)신한","2024-09-09 11:45:29","I","2024-09-11 00:12:58","식품소분업","267215.552844223","492238.97963695","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"6","식품소분업","07_22_08_P","4181000","4181000-109-1998-00001","1998-02-05","","01","영업/정상","01","영업","","","","","033 2526587","42.23","","강원특별자치도 춘천시 효자동 641-5","강원특별자치도 춘천시 춘천로 197-1 (효자동)","24260","(주)새시대체인 벨몽드","2017-06-14 15:53:31","I","2023-06-13 00:00:00","식품소분업","264685.969062866","486297.611528286","식품소분업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"7","식품소분업","07_22_08_P","4181000","4181000-109-1999-00001","1999-02-06","","01","영업/정상","01","영업","","","","","033 2576572","85.12","","강원특별자치도 춘천시 효자동 179-1","강원특별자치도 춘천시 미려골길 23 (효자동)","24340","새시대체인벨몽드","2017-06-14 16:39:07","I","2023-06-13 00:00:00","식품소분업","264712.110272309","485604.191381465","식품소분업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"8","식품소분업","07_22_08_P","4181000","4181000-109-2000-00001","2000-08-02","","01","영업/정상","01","영업","","","","","033 260 7781","","","강원특별자치도 춘천시 석사동 17","강원특별자치도 춘천시 세실로 108 (석사동)","24315","롯데쇼핑(주)롯데마트석사점","2025-06-05 10:26:13","U","2025-06-08 02:40:00","식품소분업","266689.747698764","485210.425599848","식품소분업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"9","식품소분업","07_22_08_P","4181000","4181000-109-2000-00003","2000-11-07","","01","영업/정상","01","영업","","","","","033 2538030","13.30","","강원특별자치도 춘천시 소양로3가 110-1","강원특별자치도 춘천시 소양로 118 (소양로3가)","24272","춘천농협하나로마트","2024-06-27 11:54:14","U","2024-06-29 02:40:00","식품소분업","263597.187815591","487019.948940286","식품소분업","0","0","","","상수도전용","0","0","0","1","0","자가","0","0","N","0","","","",
"10","식품소분업","07_22_08_P","4181000","4181000-109-2003-00006","2003-08-05","","01","영업/정상","01","영업","","","","","033 2641402","","","강원특별자치도 춘천시 동내면 거두리 929-2","강원특별자치도 춘천시 동내면 공지로 80","24404","동춘천농협하나로마트사업소","2024-07-04 11:04:02","U","2024-07-06 02:40:00","식품소분업","266008.214362088","483806.24603867","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"11","식품소분업","07_22_08_P","4181000","4181000-109-2005-00004","2005-10-21","","01","영업/정상","01","영업","","","","","033 2414451","70.89","","강원특별자치도 춘천시 동면 만천리 125-7","강원특별자치도 춘천시 동면 금베이길 56","24212","정화유통상사","2024-09-20 11:16:18","U","2024-09-22 02:40:00","식품소분업","268956.072055507","486171.133602264","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","4.05","","","",
"12","식품소분업","07_22_08_P","4181000","4181000-109-2006-00002","2006-11-29","","01","영업/정상","01","영업","","","","","033 2523000","17.70","","강원특별자치도 춘천시 퇴계동 381-1","강원특별자치도 춘천시 영서로 2195 (퇴계동)","24445","롯데슈퍼(춘천점)","2024-07-09 11:50:10","U","2024-07-11 02:40:00","식품소분업","264048.38885859","484444.290618198","식품소분업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"13","식품소분업","07_22_08_P","4181000","4181000-109-2006-00004","2006-12-27","","01","영업/정상","01","영업","","","","","033 2449244","18.02","","강원특별자치도 춘천시 후평동 691-2 (2층)","강원특별자치도 춘천시 춘천로296번길 9, 2층 (후평동)","24277","보람유통","2018-06-27 17:10:36","I","2023-06-13 00:00:00","식품소분업","265603.594879485","486694.481228616","식품소분업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"14","식품소분업","07_22_08_P","4181000","4181000-109-2007-00002","2007-02-21","","01","영업/정상","01","영업","","","","","033 253 0822","102.67","","강원특별자치도 춘천시 후평동 558-1","강원특별자치도 춘천시 후석로420번길 7, 하이테크타워 214호 (후평동)","24232","창대식품","2022-08-26 11:16:46","I","2023-06-13 00:00:00","식품소분업","265474.842593179","487512.552718902","식품소분업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"15","식품소분업","07_22_08_P","4181000","4181000-109-2007-00004","2007-04-02","","01","영업/정상","01","영업","","","","","033 255 1214","535.20","","","강원특별자치도 춘천시 신동면 한치로 669, 1층","24411","농업회사법인강원양봉주식회사","2021-06-29 16:10:23","I","2023-06-13 00:00:00","식품소분업","260460.584572085","477357.733911501","식품소분업","0","0","","","상수도전용","0","0","1","0","3","임대","0","0","N","501.41","","","",
"16","식품소분업","07_22_08_P","4181000","4181000-109-2012-00002","2012-06-25","","01","영업/정상","01","영업","","","","","033 256 9918","29.25","","강원특별자치도 춘천시 동내면 학곡리 71-3","강원특별자치도 춘천시 동내면 사암길 16-2, 1층","24408","주식회사황태종가식품","2025-06-17 15:46:18","U","2025-06-19 02:40:00","식품소분업","267278.789100635","481150.162285851","식품소분업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"17","식품소분업","07_22_08_P","4181000","4181000-109-2012-00003","2012-08-17","","01","영업/정상","01","영업","","","","","033 243 7771","7.60","","강원특별자치도 춘천시 후평동 79-1","강원특별자치도 춘천시 후석로326번길 14, 1층 (후평동)","24302","무상엠에스마트","2024-06-21 11:11:20","U","2024-06-23 02:40:00","식품소분업","266034.226125793","486685.766212976","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"18","식품소분업","07_22_08_P","4181000","4181000-109-2012-00006","2012-10-04","","01","영업/정상","01","영업","","","","","033 256 8763","243.00","","강원특별자치도 춘천시 중앙로3가 78-10","강원특별자치도 춘천시 방송길7번길 12 (중앙로3가)","24358","달곰","2023-01-17 10:06:41","I","2023-06-13 00:00:00","식품소분업","263391.151573073","486105.079055787","식품소분업","0","0","","","","0","0","0","0","0","임대","0","0","N","226.94","","","",
"19","식품소분업","07_22_08_P","4181000","4181000-109-2008-00008","2008-10-01","","01","영업/정상","01","영업","","","","","033  2488272","321.86","","강원특별자치도 춘천시 퇴계동 859-2","강원특별자치도 춘천시 퇴계농공로 111 (퇴계동)","24427","주식회사 이롬홀딩스","2025-07-14 16:44:07","U","2025-07-16 02:40:00","식품소분업","265170.530099755","482597.86742117","식품소분업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","203.14","","","",
"20","식품소분업","07_22_08_P","4181000","4181000-109-2008-00009","2008-10-14","","01","영업/정상","01","영업","","","","","033 258 6325","58.71","","강원특별자치도 춘천시 신북읍 율문리 942","강원특별자치도 춘천시 신북읍 신북로 61-14, 춘천벤처2공장 201호","24206","(주)에스티알바이오텍","2025-10-24 09:56:33","U","2025-10-26 02:40:00","식품소분업","265906.685991406","492278.551903287","식품소분업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"21","식품소분업","07_22_08_P","4181000","4181000-109-2008-00010","2008-12-11","","01","영업/정상","01","영업","","","","","033 264 3800","0.00","","강원특별자치도 춘천시 퇴계동 164-3","강원특별자치도 춘천시 지석로 11 (퇴계동)","24413","춘천철원화천양구축산농협하나로마트퇴계점","2024-06-28 13:30:26","U","2024-06-30 02:40:00","식품소분업","264838.52203719","483744.542704867","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"22","식품소분업","07_22_08_P","4181000","4181000-109-2009-00001","2009-02-27","","01","영업/정상","01","영업","","","","","033 253 9366","489.60","","강원특별자치도 춘천시 동내면 거두리 1153 외1필지","강원특별자치도 춘천시 동내면 거두단지2길 60","24398","일동후디스 주식회사","2017-05-24 11:22:11","I","2023-06-13 00:00:00","식품소분업","268830.238891791","485195.41388557","식품소분업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"23","식품소분업","07_22_08_P","4181000","4181000-109-2009-00002","2009-03-11","","01","영업/정상","01","영업","","","","","033 252 3950","","","강원특별자치도 춘천시 동면 장학리 858-2","강원특별자치도 춘천시 동면 춘천로 439","24233","춘천강동농협 장학지점","2018-07-13 11:17:36","I","2023-06-13 00:00:00","식품소분업","266211.951580218","487984.69431696","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"24","식품소분업","07_22_08_P","4181000","4181000-109-2010-00002","2010-03-09","","01","영업/정상","01","영업","","","","","033 269 8000","45.00","","강원특별자치도 춘천시 퇴계동 144-1 외 10필지(홈플러스 춘천점)","강원특별자치도 춘천시 김유정로 1840 (퇴계동, 홈플러스 춘천점)","24423","홈플러스 주식회사","2024-06-28 11:52:39","U","2024-06-30 02:40:00","식품소분업","264597.191878957","483368.29049207","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"25","식품소분업","07_22_08_P","4181000","4181000-109-2010-00003","2010-04-12","","01","영업/정상","01","영업","","","","","033 252 7071","27.74","","강원특별자치도 춘천시 동면 만천리 821-2","강원특별자치도 춘천시 동면 만천로 135","24216","벨몽드 만천점","2024-07-10 11:37:34","U","2024-07-12 02:40:00","식품소분업","266786.132730214","486803.895972417","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"26","식품소분업","07_22_08_P","4181000","4181000-109-2013-00001","2013-04-15","","01","영업/정상","01","영업","","","","","033 2447749","28.38","","강원특별자치도 춘천시 신북읍 발산리 56-5","강원특별자치도 춘천시 신북읍 맥국길 351","24203","주식회사아리랑상사","2018-10-18 13:18:01","I","2023-06-13 00:00:00","식품소분업","267481.037790626","495030.869345329","식품소분업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"27","식품소분업","07_22_08_P","4181000","4181000-109-2014-00001","2014-01-13","","01","영업/정상","01","영업","","","","","033 258 5080","42.75","","강원특별자치도 춘천시 사농동 99-6","강원특별자치도 춘천시 사우4길 36, 1층 (사농동)","24226","벨몽드강북점","2017-06-14 16:08:17","I","2023-06-13 00:00:00","식품소분업","263975.351693496","489554.950314904","식품소분업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"28","식품소분업","07_22_08_P","4181000","4181000-109-2015-00005","2015-06-25","","01","영업/정상","01","영업","","","","","070 42248900","60.00","","강원특별자치도 춘천시 동내면 고은리 159-3","강원특별자치도 춘천시 동내면 동내로 247-13, 2층","24399","싱그런협동조합","2020-01-13 14:19:46","I","2023-06-13 00:00:00","식품소분업","268485.431492371","483245.696283866","식품소분업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"29","식품소분업","07_22_08_P","4181000","4181000-109-2016-00003","2016-01-25","","01","영업/정상","01","영업","","","","","033 253 9593","88.52","","강원특별자치도 춘천시 남산면 광판리 126-2","강원특별자치도 춘천시 남산면 종자리로 17","24466","(주)순수","2019-12-30 09:23:36","I","2023-06-13 00:00:00","식품소분업","262649.492222512","471590.438616585","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"30","식품소분업","07_22_08_P","4181000","4181000-109-2016-00006","2016-06-20","","01","영업/정상","01","영업","","","","","033 251 6913","33.12","","강원특별자치도 춘천시 효자동 692-1","강원특별자치도 춘천시 공지로 345, 1층 (효자동)","24365","수협바다마트 춘천점","2024-06-26 11:54:09","U","2024-06-28 02:40:00","식품소분업","263982.973022046","485445.541011372","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"31","식품소분업","07_22_08_P","4181000","4181000-109-2016-00008","2016-07-08","","01","영업/정상","01","영업","","","","","","98.00","","강원특별자치도 춘천시 동면 만천리 158-16","강원특별자치도 춘천시 동면 금베이길 93-46","24212","대양푸드(주)","2024-09-03 16:50:06","U","2024-09-05 02:40:00","식품소분업","269315.965795102","486556.578773242","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","2","","","",
"32","식품소분업","07_22_08_P","4181000","4181000-109-2016-00011","2016-11-09","","01","영업/정상","01","영업","","","","","033 264 0466","9.36","","강원특별자치도 춘천시 퇴계동 861-13","강원특별자치도 춘천시 퇴계공단1길 56-15 (퇴계동)","24427","(주)오도푸드서비스","2019-12-17 16:53:21","I","2023-06-13 00:00:00","식품소분업","264983.24211394","482661.235181373","식품소분업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"33","식품소분업","07_22_08_P","4181000","4181000-109-2016-00012","2016-11-11","","01","영업/정상","01","영업","","","","","033 262 0996","2.08","","강원특별자치도 춘천시 석사동 904-2","강원특별자치도 춘천시 스무숲길 5, 5층 (석사동)","24416","농업회사법인주식회사에스에이치에프 (SHF)","2024-10-10 13:27:31","U","2024-10-12 02:40:00","식품소분업","265850.447382552","483294.150501248","식품소분업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
