"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품제조가공업","07_22_11_P","4181000","4181000-106-2023-00015","2023-09-13","","01","영업/정상","01","영업","","","","","","118.39","","강원특별자치도 춘천시 석사동 966-11","강원특별자치도 춘천시 스무숲3길 41-1 (석사동)","24416","농업회사법인주식회사 베이크팜","2023-09-13 11:43:21","I","2023-09-15 00:18:04","기타 식품제조가공업","266217.507196462","483106.524734071","기타 식품제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","68.03","","","",
"2","식품제조가공업","07_22_11_P","4181000","4181000-106-2023-00014","2023-07-05","","01","영업/정상","01","영업","","","","","","102.66","","강원특별자치도 춘천시 후평동 558-1 103호","강원특별자치도 춘천시 후석로420번길 7, 춘천하이테크타워 103호 (후평동)","24232","주식회사 화서식품","2023-07-05 15:15:37","I","2023-07-07 00:19:05","기타 식품제조가공업","265474.842593179","487512.552718902","기타 식품제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","식품제조가공업","07_22_11_P","4181000","4181000-106-2023-00013","2023-06-28","","01","영업/정상","01","영업","","","","","","200.68","","강원특별자치도 춘천시 동면 감정리 377-1","강원특별자치도 춘천시 동면 가락재로 99-10","24211","농업회사법인 텃밭농산 주식회사","2025-02-24 16:18:25","U","2025-02-26 02:40:00","기타 식품제조가공업","","","기타 식품제조가공업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","24.42","","","",
"4","식품제조가공업","07_22_11_P","4181000","4181000-106-2023-00012","2023-06-23","","01","영업/정상","01","영업","","","","","","143.10","","강원특별자치도 춘천시 동내면 거두리 948-11","강원특별자치도 춘천시 동내면 거두택지길4번길 7-11","24405","예도담 푸드팩토리","2025-04-04 13:31:22","U","2025-04-06 02:40:00","기타 식품제조가공업","266175.365","483588.385","기타 식품제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","식품제조가공업","07_22_11_P","4181000","4181000-106-2007-00016","2007-10-26","","01","영업/정상","01","영업","","","","","033 244 0999","625.64","","강원특별자치도 춘천시 후평동 244-42","강원특별자치도 춘천시 후석로462번길 54 (후평동)","24232","(주)황금나무커피","2016-02-24 10:21:11","I","2023-06-13 00:00:00","식품제조가공업","265684.054580031","487774.930422182","식품제조가공업","0","0","","","상수도전용","0","0","0","0","3","임대","0","0","N","61.41","","","",
"6","식품제조가공업","07_22_11_P","4181000","4181000-106-2007-00017","2007-11-23","","01","영업/정상","01","영업","","","","","033 2510027","186.30","","강원특별자치도 춘천시 동내면 학곡리 71-3","강원특별자치도 춘천시 동내면 사암길 16-2, 1층","24408","주식회사황태종가식품","2025-06-17 15:49:41","U","2025-06-19 02:40:00","식품제조가공업","267278.789100635","481150.162285851","식품제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","7.23","","","",
"7","식품제조가공업","07_22_11_P","4181000","4181000-106-2008-00006","2008-05-07","","01","영업/정상","01","영업","","","","","033 253 9366","25159.47","","강원특별자치도 춘천시 동내면 거두리 1153","강원특별자치도 춘천시 동내면 거두단지2길 60","24398","일동후디스(주)","2025-07-28 15:26:25","U","2025-07-30 02:40:00","식품제조가공업","268830.238891791","485195.41388557","식품제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"8","식품제조가공업","07_22_11_P","4181000","4181000-106-2008-00008","2008-05-26","","01","영업/정상","01","영업","","","","","033 2639201","123.40","","강원특별자치도 춘천시 동내면 거두리 983-5","강원특별자치도 춘천시 동내면 거두택지길14번길 27","24405","오필승식품","2025-07-28 15:23:28","U","2025-07-30 02:40:00","식품제조가공업","266351.953176153","483410.53066814","식품제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","83.62","","","",
"9","식품제조가공업","07_22_11_P","4181000","4181000-106-2019-00013","2019-10-10","","01","영업/정상","01","영업","","","","","033 264 8488","189.76","","강원특별자치도 춘천시 동면 장학리 32","강원특별자치도 춘천시 동면 만군길 332","24213","영자유통","2025-07-28 15:27:46","U","2025-07-30 02:40:00","기타 식품제조가공업","267508.438171195","488642.252619908","기타 식품제조가공업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","172.28","","","",
"10","식품제조가공업","07_22_11_P","4181000","4181000-106-2019-00015","2019-10-25","","01","영업/정상","01","영업","","","","","033 264 4220","124.88","","강원특별자치도 춘천시 동내면 사암리 712-3","강원특별자치도 춘천시 동내면 대룡산1길 52","24408","복사꽃수레마을영농조합법인","2024-02-27 15:14:48","U","2024-02-29 02:40:00","기타 식품제조가공업","267915.251926152","482078.327766781","기타 식품제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
