"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","용기·포장지제조업","07_22_15_P","4181000","4181000-118-2007-00001","2007-10-11","","01","영업/정상","01","영업","","","","","033 2618592","371.56","","강원특별자치도 춘천시 동내면 거두리 635 외1필지(1층~2층)","강원특별자치도 춘천시 동내면 거두1길 66 (1층~2층)","24399","유한회사하이팩코리아","2017-08-03 09:09:10","I","2023-06-13 00:00:00","용기.포장지제조업","267873.846764234","485029.489188845","용기.포장지제조업","0","0","","","","0","0","1","0","1","임대","0","0","N","60.11","","","",
"2","용기·포장지제조업","07_22_15_P","4181000","4181000-118-2020-00001","2020-04-09","","01","영업/정상","01","영업","","","","","02  21643652","644.38","","강원특별자치도 춘천시 동내면 신촌리 46-26","강원특별자치도 춘천시 동내면 금촌로 84-79","24399","(주)티엔커피","2025-08-20 19:05:30","U","2025-08-22 02:40:00","용기.포장지제조업","268986.555197621","483513.530040047","용기.포장지제조업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"3","용기·포장지제조업","07_22_15_P","4181000","4181000-118-2020-00002","2020-10-26","","01","영업/정상","01","영업","","","","","033 242 3164","1075.60","","강원특별자치도 춘천시 남산면 창촌리 300-15","강원특별자치도 춘천시 남산면 보매기길 63","24465","(주)한국편의시설산업","2024-04-24 12:25:43","U","2024-04-26 02:40:00","용기.포장지제조업","256469.621187861","475875.971323067","용기.포장지제조업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"4","용기·포장지제조업","07_22_15_P","4191000","4191000-118-1997-00001","1997-01-09","","01","영업/정상","01","영업","","","","","033 7312740","","","강원특별자치도 원주시 호저면 산현리 330","강원특별자치도 원주시 호저면 칠봉로 331-20","26300","(주)제삼","2009-03-24 17:16:37","I","2023-06-13 00:00:00","용기.포장지제조업","278881.088865033","436049.050407748","용기.포장지제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","용기·포장지제조업","07_22_15_P","4191000","4191000-118-2007-00001","2007-04-19","","01","영업/정상","01","영업","","","","","033  7312741","2970.00","","강원특별자치도 원주시 호저면 산현리 298-7","강원특별자치도 원주시 호저면 칠봉로 331-31","26300","제삼플라스틱","2017-09-26 08:38:36","I","2023-06-13 00:00:00","용기.포장지제조업","278783.569419574","435903.704142687","용기.포장지제조업","0","0","","","지하수전용","0","0","0","0","0","자가","0","0","N","0","","","",
"6","용기·포장지제조업","07_22_15_P","4191000","4191000-118-2014-00001","2014-02-19","","01","영업/정상","01","영업","","","","","033 763 3666","505.12","","강원특별자치도 원주시 흥업면 흥업리 1420","강원특별자치도 원주시 흥업면 승안동길 7-15","26404","(주)구들택원주옻칠지점","2023-02-22 17:17:54","I","2023-06-13 00:00:00","용기.포장지제조업","279585.071708134","423639.888346062","용기.포장지제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","용기·포장지제조업","07_22_15_P","4191000","4191000-118-2015-00001","2015-02-26","","01","영업/정상","01","영업","","","","","033 731 1931","490.00","","강원특별자치도 원주시 지정면 가곡리 1077","강원특별자치도 원주시 지정면 조엄로 289","26355","동미산업","2015-02-26 17:31:15","I","2023-06-13 00:00:00","용기.포장지제조업","276440.231075247","429718.334075289","용기.포장지제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","용기·포장지제조업","07_22_15_P","4191000","4191000-118-2015-00002","2015-05-18","","01","영업/정상","01","영업","","","","","033 732 2855","499.00","","강원특별자치도 원주시 부론면 노림리 383-12","강원특별자치도 원주시 부론면 노숲길 17-7","26497","스콜라스(주)","2015-05-18 15:10:31","I","2023-06-13 00:00:00","용기.포장지제조업","269388.378168882","417683.405896358","용기.포장지제조업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"9","용기·포장지제조업","07_22_15_P","4191000","4191000-118-2015-00003","2015-06-09","","01","영업/정상","01","영업","","","","","02  26008486","31969.18","","강원특별자치도 원주시 지정면 신평리 1085 1,2층","강원특별자치도 원주시 지정면 기업도시로 1 (1,2층)","26348","주식회사네오플램","2024-12-30 15:39:51","U","2025-01-01 02:40:00","용기.포장지제조업","278900.162229313","430890.89110687","용기.포장지제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","용기·포장지제조업","07_22_15_P","4191000","4191000-118-2017-00001","2017-06-23","","01","영업/정상","01","영업","","","","","033 732 9700","","","강원특별자치도 원주시 문막읍 반계리 2225","","","이화피앤씨","2017-07-19 13:36:55","I","2023-06-13 00:00:00","용기.포장지제조업","271599.662735286","421672.82557864","용기.포장지제조업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
