"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","집유업","07_22_20_P","6530000","642000000620060001","2006-01-17","","01","영업/정상","0000","정상","","","","","0333406522","355.65","225-823","강원특별자치도 횡성군 안흥면 소사리 1334번지","강원특별자치도 횡성군 안흥면 봉화로 790","225-823","롯데웰푸드(주)파스퇴르공장","2025-07-03 17:41:35","U","2025-07-05 02:40:00","","300709.700909535","440517.716466947","집유업","","0","L00","0",
"2","집유업","07_22_20_P","6530000","642000000620070001","2007-01-05","","01","영업/정상","0000","정상","","","","","0332517721","305.7","200-957","강원특별자치도 춘천시 후평동  244번지 34호","강원특별자치도 춘천시 후석로440번길 10 (후평동)","","춘천철원화천양구축산업협동조합","2021-03-04 11:53:01","I","2023-06-13 00:00:00","","265400.35106042","487577.815703786","집유업","","0","L00","7",
"3","집유업","07_22_20_P","6530000","642000000620080001","2008-10-27","","01","영업/정상","0000","정상","","","","","0333427854","1060.68","225-811","강원특별자치도 횡성군 우천면 하대리 49번지 1호","강원특별자치도 횡성군 우천면 하대6길 102","225-811","범산목장","2020-09-29 15:24:35","I","2023-06-13 00:00:00","","296754.031476635","440153.909375676","집유업","","0","000","4",
"4","집유업","07_22_20_P","6530000","642000000620110001","2011-02-18","","01","영업/정상","0000","정상","","","","","0333459550","5012.01","225-874","강원특별자치도 횡성군 공근면 초원리 662번지 1호","강원특별자치도 횡성군 공근면 아이티밸리길 36","225-874","(주)서울에프엔비 횡성지점","2025-01-24 09:15:55","U","2025-01-26 02:40:00","","280754.462699214","447950.374522517","집유업","","0","L00","17",
"5","집유업","07_22_20_P","6530000","642000000620180001","2018-05-15","","02","휴업","0001","휴업","","2022-01-01","2025-12-31","","0337328624","381","","강원특별자치도 원주시 문막읍 반계리 2233번지 0호 데어리젠","강원특별자치도 원주시 문막읍 문막공단길 170, 데어리젠","","(주)데어리젠","2023-12-28 08:32:35","U","2023-12-30 02:40:00","","271474.732860906","421466.489493918","집유업","","0","L00","0",
"6","집유업","07_22_20_P","6530000","642000000619910001","1991-12-05","","03","폐업","0002","폐업","2007-01-08","","","","0333424831","0","225-814","강원특별자치도 횡성군 우천면 양적리 37번지 13호","","","춘천철원축산업협동조합횡성유가공장","2007-01-08 18:16:15","I","2023-06-13 00:00:00","","293721.288247644","439614.527859345","집유업","","0","L00","0",
"7","집유업","07_22_20_P","6530000","642000000620030001","2003-01-21","","03","폐업","0002","폐업","2005-12-28","","","","0333345578","0","225-862","강원특별자치도 횡성군 서원면 옥계리산103번지","","","(주)태백유업","2006-01-02 09:41:52","I","2023-06-13 00:00:00","","","","집유업","","0","000","0",
"8","집유업","07_22_20_P","6530000","642000000620050001","2005-08-16","","03","폐업","0002","폐업","2014-05-27","","","","0337321583","218.3","220-822","강원특별자치도 원주시 지정면 간현리 626번지 2호","강원특별자치도 원주시 지정면 간현로 56","220-822","(주)자연은","2014-05-27 10:54:24","I","2023-06-13 00:00:00","","274692.021630698","428821.712745786","집유업","","0","L00","0",
"9","집유업","07_22_20_P","6530000","642000000620050002","2005-06-02","","03","폐업","0002","폐업","2006-11-27","","","","0334348440","3416","250-804","강원특별자치도 홍천군 홍천읍 하오안리 790번지","","","(주)자연과산양","2006-11-28 20:26:10","I","2023-06-13 00:00:00","","275015.980652373","463445.803308062","집유업","","0","L00","1",
"10","집유업","07_22_20_P","6530000","642000000620060002","2006-11-30","","03","폐업","0002","폐업","2014-09-29","","","","0337628621","2212","220-841","강원특별자치도 원주시 흥업면 대안리 305번지","강원특별자치도 원주시 흥업면 대안로 1018","220-841","(주)데어리젠","2014-09-29 15:42:36","I","2023-06-13 00:00:00","","279474.922841745","422957.920630539","집유업","","0","L00","41",
"11","집유업","07_22_20_P","6530000","642000000620100001","2010-06-03","","03","폐업","0002","폐업","2018-12-31","","","","0333424831","1383","225-811","강원특별자치도 횡성군 우천면 양적리 37번지 13호","강원특별자치도 횡성군 우천면 수남로266번길 65","225-811","일동후디스(주)횡성유가공공장","2018-12-31 13:08:45","I","2023-06-13 00:00:00","","293721.288247644","439614.527859345","집유업","","0","L00","17",
"12","집유업","07_22_20_P","6530000","642000000620160001","2016-10-11","","03","폐업","0002","폐업","2019-08-31","","","","0333328331","248","","강원특별자치도 평창군 대화면 신리 1106번지 23호","강원특별자치도 평창군 대화면 평창대로 1447","","주식회사 오뗄 평창지점","2019-09-17 09:57:10","I","2023-06-13 00:00:00","","326860.165007693","449228.846046238","집유업","","0","L00","4",
