"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산물보관업","07_22_24_P","4181000","418000000719810001","1981-02-19","","01","영업/정상","0000","정상","","","","","033-252-3211","0","","강원특별자치도 춘천시 신북읍 율문리 787","강원특별자치도 춘천시 신북읍 사랑말길 50","24205","춘천철원화천양구축산업협동조합","2025-10-21 17:57:12","U","2025-10-23 02:40:00","","265104.426880502","492157.787334462","축산물보관업","","0","L00","0",
"2","축산물보관업","07_22_24_P","4181000","418000000720230001","2023-01-31","","01","영업/정상","0000","정상","","","","","033-264-6712","201.25","","강원특별자치도 춘천시 동산면 봉명리 1106-2","강원특별자치도 춘천시 동산면 원무동길 82-9","24410","주식회사 에이치티코리아","2023-01-31 15:40:46","I","2023-06-13 00:00:00","","268383.500198374","473954.950872862","축산물보관업","","0","L00","0",
"3","축산물보관업","07_22_24_P","4181000","418100000720240003","2024-07-16","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 삼천동 101-8","강원특별자치도 춘천시 자라우새길 17 (삼천동)","24239","빙그레 춘천영업소","2025-03-26 17:30:56","U","2025-03-28 02:40:00","","262035.21778986","484102.03225355","축산물보관업","","0","L00","0",
"4","축산물보관업","07_22_24_P","4181000","418100000720240001","2024-07-11","","01","영업/정상","0000","정상","","","","","0332526999","0","","강원특별자치도 춘천시 동면 만천리 619-1","강원특별자치도 춘천시 동면 만천로 68","24215","(주)한국푸드시스템","2024-07-11 13:33:54","I","2024-07-13 00:13:55","","267371.64017632","486620.316623145","축산물보관업","","0","L00","0",
"5","축산물보관업","07_22_24_P","4181000","418100000720240002","2024-07-16","","04","취소/말소/만료/정지/중지","0004","말소","2024-07-31","","","","0332625893","0","","강원특별자치도 춘천시 동내면 고은리 528-28","강원특별자치도 춘천시 동내면 동내로 152","24407","빙그레 춘천영업소","2024-07-31 09:36:42","U","2024-08-02 02:40:00","","267549.104400361","483357.226462928","축산물보관업","","0","L00","0",
"6","축산물보관업","07_22_24_P","4191000","419000000720000001","2000-08-07","","01","영업/정상","0000","정상","","","","","033-747-2989","330","","강원특별자치도 원주시 호저면 만종리 489-1","강원특별자치도 원주시 호저면 원문로 525-23","26375","(주)남원","2014-02-17 20:17:18","I","2023-06-13 00:00:00","","280252.989491685","428939.263698856","축산물보관업","","0","000","0",
"7","축산물보관업","07_22_24_P","4191000","419000000720150001","2015-05-11","","01","영업/정상","0000","정상","","","","","033-747-7939","10490","","강원특별자치도 원주시 소초면 장양리 484-1","강원특별자치도 원주시 소초면 수래울길 5","26308","(주)에스피씨지에프에스 원주물류센터","2024-11-18 16:17:03","U","2024-11-20 02:40:00","","285928.188554942","433490.309857545","축산물보관업","","0","L00","0",
"8","축산물보관업","07_22_24_P","4191000","419000000720190001","2019-07-22","","01","영업/정상","0000","정상","","","","","033-731-1870","16.5","","강원특별자치도 원주시 문막읍 반계리 2262-13","강원특별자치도 원주시 문막읍 원문로 2057, 1동 2층","26362","동부로지스(주)","2021-06-25 11:31:41","I","2023-06-13 00:00:00","","271125.242191868","422427.917953942","축산물보관업","","0","L00","0",
"9","축산물보관업","07_22_24_P","4191000","419000000720210001","2021-07-01","","01","영업/정상","0000","정상","","","","","033-763-9417","356.48","","강원특별자치도 원주시 신림면 성남리 105-1","강원특별자치도 원주시 신림면 축치동길 2","26506","농업회사법인(주)닭의 선물","2021-07-01 17:31:03","I","2023-06-13 00:00:00","","297276.240854318","416963.666995058","축산물보관업","","0","L00","0",
"10","축산물보관업","07_22_24_P","4191000","419100000720250001","2025-04-10","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 무실동 1436-4","강원특별자치도 원주시 행가리2길 5 (무실동)","26396","교촌에프엔비(주) 원주 물류센터","2025-04-11 14:34:14","I","2025-04-13 00:10:20","","280998.81546937","424421.135494025","축산물보관업","","0","L00","0",
"11","축산물보관업","07_22_24_P","4191000","419100000720230001","2023-10-26","","01","영업/정상","0000","정상","","","","","02-6430-0300","383.98","","강원특별자치도 원주시 호저면 주산리 298","강원특별자치도 원주시 호저면 호매곡1길 51","26303","(주)제때","2025-07-16 13:16:37","U","2025-07-18 02:40:00","","282269.037719455","433322.792529521","축산물보관업","","0","L00","0",
