"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","단란주점영업","07_23_01_P","4181000","4181000-103-2023-00001","2023-07-19","","01","영업/정상","01","영업","","","","","","117.95","","강원특별자치도 춘천시 요선동 18-2","강원특별자치도 춘천시 서부대성로48번길 24, 지하 1층 (요선동)","24272","돌고래7080라이브","2025-09-10 17:06:51","U","2025-09-12 02:40:00","단란주점","263923.839491295","486755.236570881","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","117.95","","","",
"2","단란주점영업","07_23_01_P","4181000","4181000-103-1999-00002","1999-04-01","","01","영업/정상","01","영업","","","","","033 252 3678","53.19","","강원특별자치도 춘천시 소양로1가 93-1","강원특별자치도 춘천시 소양로 216 (소양로1가)","24247","소양강노래타운","2024-11-13 14:53:47","U","2024-11-15 02:40:00","단란주점","263836.386737018","487975.466955132","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","53.19","","","",
"3","단란주점영업","07_23_01_P","4181000","4181000-103-1999-00003","1999-05-07","","01","영업/정상","01","영업","","","","","033 251 8554","73.08","","강원특별자치도 춘천시 소양로2가 11-1","강원특별자치도 춘천시 모수물길 68 (소양로2가)","24249","어촌블루스","2025-09-15 11:00:40","U","2025-09-17 02:40:00","단란주점","263752.203349954","487659.193922775","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","73.08","","","",
"4","단란주점영업","07_23_01_P","4181000","4181000-103-1999-00004","1999-07-05","","01","영업/정상","01","영업","","","","","033 2529995","78.61","","강원특별자치도 춘천시 운교동 187-10","강원특별자치도 춘천시 서부대성로 140-1 (운교동)","24350","연단란주점","2024-12-10 15:53:54","U","2024-12-12 02:40:00","단란주점","264595.096883906","486337.201749953","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","78.61","","","",
"5","단란주점영업","07_23_01_P","4181000","4181000-103-2002-00004","2002-08-28","","01","영업/정상","01","영업","","","","","033 2534282","82.15","","강원특별자치도 춘천시 옥천동 39-5","강원특별자치도 춘천시 옥천길 25 (옥천동)","24346","춘천부르스","2024-12-10 15:54:11","U","2024-12-12 02:40:00","단란주점","264156.522705794","486857.504631207","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","82.15","","","",
"6","단란주점영업","07_23_01_P","4181000","4181000-103-2002-00005","2002-10-15","","01","영업/정상","01","영업","","","","","033 255 4142","101.78","","강원특별자치도 춘천시 효자동 651-6","강원특별자치도 춘천시 둥지길 4 (효자동)","24334","체리뮤직타워","2024-12-10 15:54:27","U","2024-12-12 02:40:00","단란주점","264628.805573156","486046.275827248","단란주점","0","0","유흥업소밀집지역","","상수도전용","0","0","0","0","0","","0","0","Y","101.78","","","",
"7","단란주점영업","07_23_01_P","4181000","4181000-103-2005-00001","2005-02-21","","01","영업/정상","01","영업","","","","","033 2541664","122.00","","강원특별자치도 춘천시 후평동 692-15","강원특별자치도 춘천시 춘천로 308 (후평동)","24277","글로리","2024-12-10 15:54:38","U","2024-12-12 02:40:00","단란주점","265665.873522151","486806.791033455","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","122","","","",
"8","단란주점영업","07_23_01_P","4181000","4181000-103-2005-00002","2005-03-09","","01","영업/정상","01","영업","","","","","033 2524786","114.16","","강원특별자치도 춘천시 조양동 43-5","강원특별자치도 춘천시 시청길10번길 11 (조양동)","24352","매혹","2020-08-24 11:19:32","I","2023-06-13 00:00:00","단란주점","264091.937722338","486581.177914785","단란주점","0","1","기타","","상수도전용","0","0","0","0","0","","0","0","Y","114.16","","","",
"9","단란주점영업","07_23_01_P","4181000","4181000-103-2006-00002","2006-07-18","","01","영업/정상","01","영업","","","","","033 255 1212","140.00","","강원특별자치도 춘천시 효자동 684-11","강원특별자치도 춘천시 공지로 367 (효자동, 남부시장)","24365","허니","2024-12-10 15:54:59","U","2024-12-12 02:40:00","단란주점","263776.104141899","485573.469431416","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","140","","","",
"10","단란주점영업","07_23_01_P","4181000","4181000-103-2008-00002","2008-06-02","","01","영업/정상","01","영업","","","","","033 252 0066","145.15","","강원특별자치도 춘천시 운교동 181-4","강원특별자치도 춘천시 춘천로176번길 6, 지하1층 (운교동)","24329","캐슬","2025-10-02 10:11:25","U","2025-10-05 02:40:00","단란주점","264486.966565247","486185.38070559","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","145.15","","","",
"11","단란주점영업","07_23_01_P","4181000","4181000-103-2011-00002","2011-09-28","","01","영업/정상","01","영업","","","","","033 252 6780","149.88","","강원특별자치도 춘천시 후평동 701-6","강원특별자치도 춘천시 보안길 61 (후평동)","24304","나는 가수다","2024-08-13 09:54:03","U","2024-08-17 02:40:00","단란주점","265958.887687857","486628.389347942","단란주점","1","1","기타","","상수도전용","0","0","0","0","0","","0","0","Y","149.88","","","",
