"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","일반음식점","07_24_04_P","4231000","4231000-101-2024-00101","2024-05-30","","01","영업/정상","01","영업","","","","","","97.68","","강원특별자치도 속초시 조양동 1310-18","강원특별자치도 속초시 조양로21번길 15, 1층 (조양동)","24894","대감집","2024-05-30 11:18:52","I","2024-06-01 00:14:25","기타","340042.632909849","521505.658938311","기타","0","0","","","","0","0","0","0","0","","0","0","N","97.68","","","",
"2","일반음식점","07_24_04_P","4321000","4321000-101-2024-00042","2024-05-31","","01","영업/정상","01","영업","","","","","","135.20","","강원특별자치도 양구군 양구읍 상리 335-31 한림장여관","강원특별자치도 양구군 양구읍 사명길 108, 한림장여관","24525","김용복 횟집","2025-06-27 17:09:22","U","2025-06-29 02:40:00","호프/통닭","286637.597405956","512044.95979068","호프/통닭","0","0","","","","0","0","0","0","0","","0","0","N","135.2","","","",
"3","일반음식점","07_24_04_P","4341000","4341000-101-2023-00066","2023-08-31","","01","영업/정상","01","영업","","","","","","31.90","","강원특별자치도 고성군 거진읍 거진리 272 거진전통시장","강원특별자치도 고성군 거진읍 거진시장길 15, 가동 4호","24715","선이네집","2023-08-31 13:20:03","I","2023-09-02 00:18:46","한식","326881.055800143","550394.194146654","한식","0","0","","","","0","0","0","0","0","","0","0","N","31.9","","","",
"4","일반음식점","07_24_04_P","4191000","4191000-101-2023-00324","2023-07-26","","01","영업/정상","01","영업","","","","","","85.09","","강원특별자치도 원주시 문막읍 건등리 1700-4","강원특별자치도 원주시 문막읍 건등로 50, 1층","26370","홍연마라탕","2023-08-22 20:11:03","U","2023-08-24 02:40:00","중국식","272714.503905811","423880.842670696","중국식","0","0","기타","자율","상수도전용","0","0","0","0","0","","0","0","N","85.09","","","",
"5","일반음식점","07_24_04_P","4191000","4191000-101-2023-00325","2023-07-26","","01","영업/정상","01","영업","","","","","","33.92","","강원특별자치도 원주시 단계동 891-5","강원특별자치도 원주시 이화5길 36, 1층 (단계동)","26382","어바운드피자","2023-08-30 17:32:42","U","2023-09-01 02:40:00","경양식","282451.948993121","427004.583940412","경양식","0","0","주택가주변","자율","상수도전용","0","0","0","0","0","","0","0","N","33.92","","","",
"6","일반음식점","07_24_04_P","4191000","4191000-101-2023-00326","2023-07-26","","01","영업/정상","01","영업","","","","","","34.88","","강원특별자치도 원주시 봉산동 1198-3","강원특별자치도 원주시 삼광2길 24, 1층 (봉산동)","26331","자매푸드","2024-09-11 13:40:36","U","2024-09-13 02:40:00","한식","285581.695","427116.265","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","34.88","","","",
"7","일반음식점","07_24_04_P","4181000","4181000-101-2023-00303","2023-08-30","","01","영업/정상","01","영업","","","","","","55.44","","강원특별자치도 춘천시 소양로4가 109-5","강원특별자치도 춘천시 중앙로 126, 1층 전면좌측첫째상가호 (소양로4가)","24276","만애칼국수","2024-11-14 11:03:32","U","2024-11-16 02:40:00","기타","263373.614138306","486218.319176021","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","21.6","","","",
"8","일반음식점","07_24_04_P","4191000","4191000-101-2023-00373","2023-09-08","","01","영업/정상","01","영업","","","","","","329.78","","강원특별자치도 원주시 행구동 1473-3","강원특별자치도 원주시 오리현길 178, 1, 2층 (행구동)","26456","이바램(원주본점)","2023-09-24 15:58:03","U","2023-09-26 02:40:00","식육(숯불구이)","287259.770588451","426554.435409704","식육(숯불구이)","0","0","기타","자율","상수도전용","0","0","0","0","0","","0","0","Y","329.78","","","",
"9","일반음식점","07_24_04_P","4191000","4191000-101-2023-00374","2023-09-08","","01","영업/정상","01","영업","","","","","","65.90","","강원특별자치도 원주시 문막읍 동화리 1233","강원특별자치도 원주시 문막읍 왕건로 26-1, 1층","26368","문막우미관","2025-08-29 14:17:15","U","2025-08-31 02:40:00","한식","273573.554511989","424817.287114158","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","99.2","","","",
"10","일반음식점","07_24_04_P","4211000","4211000-101-2023-00087","2023-08-29","","01","영업/정상","01","영업","","","","","","69.12","","강원특별자치도 동해시 묵호진동 15-147","강원특별자치도 동해시 묵호시장길 11, 1층 (묵호진동)","25711","미가영양솥밥","2024-12-16 10:01:12","U","2024-12-18 02:40:00","한식","386787.903095934","452136.380200281","한식","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","69.12","","","",
"11","일반음식점","07_24_04_P","4181000","4181000-101-2023-00271","2023-08-03","","01","영업/정상","01","영업","","","","","","28.20","","강원특별자치도 춘천시 후평동 684-14","강원특별자치도 춘천시 춘천로281번길 1, 1층 (후평동)","24257","훈연고기","2023-08-21 16:01:37","U","2023-08-23 02:40:00","기타","265412.570321582","486713.502307113","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","28.2","","","",
"12","일반음식점","07_24_04_P","4181000","4181000-101-2023-00288","2023-08-16","","01","영업/정상","01","영업","","","","","","22.00","","강원특별자치도 춘천시 운교동 185-5","강원특별자치도 춘천시 서부대성로 122, 1층 (운교동)","24349","광장집","2025-10-27 14:15:48","U","2025-10-29 02:40:00","한식","264489.332995749","486490.811604619","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","22","","","",
