"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","휴게음식점","07_24_05_P","4181000","4181000-104-2023-00120","2023-07-26","","01","영업/정상","01","영업","","","","","","6.00","","강원특별자치도 춘천시 온의동 536-5","강원특별자치도 춘천시 춘주로92번길 38 (온의동)","24438","지에스25춘천춘주로점","2023-07-26 17:27:51","I","2023-07-28 00:18:47","편의점","263102.171234487","484309.844689688","편의점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","6","","","",
"2","휴게음식점","07_24_05_P","4261000","4261000-104-2023-00019","2023-08-24","","01","영업/정상","01","영업","","","","","","3.30","","강원특별자치도 횡성군 둔내면 두원리 632-1","강원특별자치도 횡성군 둔내면 고원로 429","25263","씨유 둔내펜션타운","2023-08-24 17:41:42","I","2023-08-26 00:18:22","편의점","309718.699730558","444538.162143996","편의점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","3.3","","","",
"3","휴게음식점","07_24_05_P","4201000","4201000-104-2023-00261","2023-08-16","","01","영업/정상","01","영업","","","","","","120.20","","강원특별자치도 강릉시 초당동 169","강원특별자치도 강릉시 초당원길54번길 5, 1층 (초당동)","25469","카페키키모라(Cafe Kikimora)","2025-09-01 14:45:42","U","2025-09-03 02:40:00","커피숍","368649.060240822","477694.050303892","커피숍","0","0","기타","기타","상수도전용","0","0","0","0","0","","0","0","N","120.2","","","",
"4","휴게음식점","07_24_05_P","4201000","4201000-104-2023-00275","2023-08-31","","01","영업/정상","01","영업","","","","","","99.00","","강원특별자치도 강릉시 남문동 112-1","강원특별자치도 강릉시 경강로2046번길 14, 2층 (남문동)","25538","글루크(Gluck)","2025-07-03 16:58:22","U","2025-07-05 02:40:00","커피숍","366784.84141037","473690.075925797","커피숍","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","99","","","",
"5","휴게음식점","07_24_05_P","4181000","4181000-104-2023-00123","2023-08-03","","01","영업/정상","01","영업","","","","","033252 9182","99.14","","강원특별자치도 춘천시 퇴계동 475-9","강원특별자치도 춘천시 솟발1길 4-49, 1층 (퇴계동)","24455","푸릇푸릇","2023-08-07 09:12:56","U","2023-08-09 02:40:00","기타 휴게음식점","264405.30526508","483173.398181766","기타 휴게음식점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","99.14","","","",
"6","휴게음식점","07_24_05_P","4181000","4181000-104-2023-00131","2023-08-16","","01","영업/정상","01","영업","","","","","033 2438008","32.00","","강원특별자치도 춘천시 우두동 1089","강원특별자치도 춘천시 우두1길 100, 116동 1층 113호 (우두동)","24221","샐러디 춘천우두점","2023-10-05 10:56:29","U","2023-10-07 02:40:00","기타 휴게음식점","264679.912044023","489794.047137665","기타 휴게음식점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","32","","","",
"7","휴게음식점","07_24_05_P","4181000","4181000-104-2023-00138","2023-08-30","","01","영업/정상","01","영업","","","","","","24.00","","강원특별자치도 춘천시 사농동 596-3","강원특별자치도 춘천시 사우벌길 13, 1층 (사농동)","24222","소양강농원콩다방","2023-09-25 16:43:20","U","2023-09-27 02:40:00","커피숍","264312.167754321","489751.221005889","커피숍","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","24","","","",
"8","휴게음식점","07_24_05_P","4231000","4231000-104-2023-00069","2023-08-23","","01","영업/정상","01","영업","","","","","","135.47","","강원특별자치도 속초시 영랑동 148-15","강원특별자치도 속초시 중앙로 338, 4층 (영랑동)","24808","뮤지엄엑스","2023-08-23 16:45:20","I","2023-08-26 00:18:22","커피숍","339384.297480124","525190.065721698","커피숍","0","0","","","","0","0","0","0","0","","0","0","Y","135.47","","","",
"9","휴게음식점","07_24_05_P","4191000","4191000-104-2023-00159","2023-08-30","","01","영업/정상","01","영업","","","","","","2.10","","강원특별자치도 원주시 단계동 857-6","강원특별자치도 원주시 장미공원길 50, 1층 (단계동)","26436","씨유원주장미공원길점","2023-09-24 13:36:00","U","2023-09-26 02:40:00","편의점","282319.027958228","427684.205279858","편의점","0","0","유흥업소밀집지역","자율","상수도전용","0","0","0","0","0","","0","0","N","2.1","","","",
"10","휴게음식점","07_24_05_P","4341000","4341000-104-2023-00030","2023-08-31","","01","영업/정상","01","영업","","","","","","5.00","","강원특별자치도 고성군 토성면 인흥리 714-2 세계잼버리수련장","강원특별자치도 고성군 토성면 잼버리로 244, 강원세계산림엑스포 행사장","24766","산불재난을나누다(84다6884)","2023-12-06 10:38:57","U","2023-12-09 02:40:00","푸드트럭","331305.867301608","525562.283812221","푸드트럭","0","0","","","","0","0","0","0","0","","0","0","N","5","","","",
"11","휴게음식점","07_24_05_P","4231000","4231000-104-2023-00064","2023-07-26","","01","영업/정상","01","영업","","","","","","9.28","","강원특별자치도 속초시 대포동 940","강원특별자치도 속초시 대포항희망길 93-16 (대포동)","24901","세븐일레븐대포항요트마리나점","2024-12-06 14:38:27","U","2024-12-08 02:40:00","편의점","340968.112587699","520297.993502088","편의점","0","0","","","","0","0","0","0","0","","0","0","N","9.28","","","",
"12","휴게음식점","07_24_05_P","4191000","4191000-104-2023-00162","2023-09-08","","01","영업/정상","01","영업","","","","","","9.42","","강원특별자치도 원주시 명륜동 138","강원특별자치도 원주시 향교길 77, 남산골생활문화센터 야외데크 (명륜동)","26441","소나","2025-10-23 19:31:46","U","2025-10-25 02:40:00","푸드트럭","284136.270309657","426988.115913322","푸드트럭","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","9.42","","","",
"13","휴게음식점","07_24_05_P","4191000","4191000-104-2019-00273","2019-08-07","","01","영업/정상","01","영업","","","","","","25.97","","강원특별자치도 원주시 흥업면 매지리 1931-9","강원특별자치도 원주시 흥업면 세동길 10-34, 102호","26494","쉬즈베이글커피원주점","2023-09-02 16:01:04","U","2023-09-04 02:40:00","커피숍","280565.643692803","419986.81624635","커피숍","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","25.97","","","",
"14","휴게음식점","07_24_05_P","4241000","4241000-104-2023-00045","2023-08-03","","01","영업/정상","01","영업","","","","","","16.18","","강원특별자치도 삼척시 갈천동 10-6 바위섬원룸","강원특별자치도 삼척시 새천년도로 579, 1층 (갈천동)","25909","삼척교동빵집","2025-01-17 15:29:46","U","2025-01-19 02:40:00","기타 휴게음식점","391517.537273241","442786.544541342","기타 휴게음식점","1","0","","","","0","0","0","0","0","","0","0","N","43.2","","","",
"15","휴게음식점","07_24_05_P","4211000","4211000-104-2023-00048","2023-07-26","","01","영업/정상","01","영업","","","","","","72.36","","강원특별자치도 동해시 용정동 519-3 발리원룸","강원특별자치도 동해시 초원1길 12-1, 1층 (용정동)","25780","카페,김감자","2023-07-26 10:45:13","I","2023-07-28 00:18:47","기타 휴게음식점","387678.212157072","447774.638016291","기타 휴게음식점","0","0","주택가주변","","상수도전용","0","0","0","0","0","","0","0","N","72.36","","","",
"16","휴게음식점","07_24_05_P","4231000","4231000-104-2023-00070","2023-08-30","","01","영업/정상","01","영업","","","","","","7.91","","강원특별자치도 속초시 금호동 493-4","강원특별자치도 속초시 중앙로129번길 59 (금호동)","24832","달콤허니속초벌집아이스크림","2023-08-30 15:16:59","I","2023-09-01 00:18:42","기타 휴게음식점","339117.78928468","523667.825313751","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","7.91","","","",
"17","휴게음식점","07_24_05_P","4261000","4261000-104-2023-00022","2023-09-08","","01","영업/정상","01","영업","","","","","","41.82","","강원특별자치도 횡성군 횡성읍 읍상리 642-1","강원특별자치도 횡성군 횡성읍 읍마로2번길 2, 102호","25227","커피시계","2025-05-13 19:22:54","U","2025-05-15 02:40:00","커피숍","287697.131880228","443384.165746518","커피숍","0","0","","","","0","0","0","0","0","","0","0","N","41.82","","","",
"18","휴게음식점","07_24_05_P","4321000","4321000-104-2023-00016","2023-08-21","","01","영업/정상","01","영업","","","","","","290.24","","강원특별자치도 양구군 양구읍 상리 594-2","강원특별자치도 양구군 양구읍 청춘로 56","24541","투썸플레이스 양구점","2023-09-20 10:47:22","U","2023-09-22 02:40:00","커피숍","286778.770910622","511021.518184217","커피숍","0","0","","","","0","0","0","0","0","","0","0","Y","290.24","","","",
"19","휴게음식점","07_24_05_P","4211000","4211000-104-2023-00049","2023-08-02","","01","영업/정상","01","영업","","","","","","2.00","","강원특별자치도 동해시 발한동 224-6","강원특별자치도 동해시 발한로 152, 1층 (발한동)","25725","지에스25 동해발한점","2023-08-02 11:15:56","I","2023-08-04 00:18:41","기타 휴게음식점","385875.622500598","451332.559843479","기타 휴게음식점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","2","","","",
"20","휴게음식점","07_24_05_P","4191000","4191000-104-2023-00137","2023-08-07","","01","영업/정상","01","영업","","","","","","33.00","","강원특별자치도 원주시 문막읍 건등리 338-3 스카이블루1 빌딩","강원특별자치도 원주시 문막읍 구암길 9, 스카이블루1 빌딩 1층","26371","에이치앤제이카페(H&J카페)","2023-11-02 10:03:58","U","2023-11-04 02:40:00","커피숍","273406.42377875","424380.672942057","커피숍","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","33","","","",
"21","휴게음식점","07_24_05_P","4191000","4191000-104-2023-00139","2023-08-08","","01","영업/정상","01","영업","","","","","","33.06","","강원특별자치도 원주시 부론면 법천리 941-1","강원특별자치도 원주시 부론면 골말길 33-1, 1층","26498","부론공방","2023-09-01 17:59:21","U","2023-09-03 02:40:00","커피숍","267149.010650209","411855.496716963","커피숍","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","33.06","","","",
"22","휴게음식점","07_24_05_P","4181000","4181000-104-2023-00134","2023-08-21","","01","영업/정상","01","영업","","","","","","80.73","","강원특별자치도 춘천시 온의동 519-3","강원특별자치도 춘천시 충혼길18번길 1, 1층 (온의동)","24436","당도","2023-09-11 09:34:31","U","2023-09-13 02:40:00","커피숍","263480.440248674","484697.266263767","커피숍","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","80.73","","","",
"23","휴게음식점","07_24_05_P","4191000","4191000-104-2023-00157","2023-08-28","","01","영업/정상","01","영업","","","","","","50.57","","강원특별자치도 원주시 반곡동 1903-5","강원특별자치도 원주시 황금로 6, 2층 128호 (반곡동)","26462","모리커피원주혁신도시점","2023-09-26 09:35:10","U","2023-09-28 02:40:00","기타 휴게음식점","287415.373149972","425510.922173714","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","50.57","","","",
"24","휴게음식점","07_24_05_P","4261000","4261000-104-2023-00017","2023-08-08","","01","영업/정상","01","영업","","","","","","10.00","","강원특별자치도 횡성군 둔내면 둔방내리 58-8","","","달리는푸드카페","2023-08-08 15:16:00","I","2023-08-10 00:18:35","푸드트럭","307339.463562399","446693.90449471","푸드트럭","0","0","","","","0","0","0","0","0","","0","0","N","10","","","",
"25","휴게음식점","07_24_05_P","4201000","4201000-104-2023-00251","2023-08-02","","01","영업/정상","01","영업","","","","","033 652 8045","5.47","","강원특별자치도 강릉시 견소동 19","강원특별자치도 강릉시 경강로 2664, 나동 1층 (견소동)","25556","안목에코커피","2023-08-11 16:10:44","U","2023-08-13 02:40:00","커피숍","371730.462572232","476005.807118979","커피숍","0","0","기타","기타","상수도전용","0","0","0","0","0","","0","0","N","5.47","","","",
"26","휴게음식점","07_24_05_P","4201000","4201000-104-2023-00264","2023-08-21","","01","영업/정상","01","영업","","","","","","40.00","","강원특별자치도 강릉시 회산동 24-2","강원특별자치도 강릉시 강변로 74-26, 1층 102호 (회산동)","25600","해피유얼데이","2023-09-18 14:54:06","U","2023-09-20 02:40:00","기타 휴게음식점","365506.048304138","472690.450172556","기타 휴게음식점","0","0","기타","기타","상수도전용","0","0","0","0","0","","0","0","N","40","","","",
"27","휴게음식점","07_24_05_P","4201000","4201000-104-2023-00265","2023-08-21","","01","영업/정상","01","영업","","","","","033 640 2037","74.97","","강원특별자치도 강릉시 지변동 123 강릉원주대학교","강원특별자치도 강릉시 죽헌길 7, 강릉원주대학교 학생복지관(C3) 1층 (지변동)","25457","생협멀티샵","2024-05-14 10:51:23","U","2024-05-16 02:40:00","기타 휴게음식점","364627.278082023","475810.449226925","기타 휴게음식점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","74.97","","","",
"28","휴게음식점","07_24_05_P","4191000","4191000-104-2023-00151","2023-08-21","","01","영업/정상","01","영업","","","","","","7.48","","강원특별자치도 원주시 판부면 서곡리 597-2","강원특별자치도 원주시 판부면 남원로 252, 1층","26401","세븐일레븐원주판부점","2023-09-01 17:47:04","U","2023-09-03 02:40:00","편의점","282400.116306174","423840.052810954","편의점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","7.48","","","",
"29","휴게음식점","07_24_05_P","4191000","4191000-104-2023-00152","2023-08-21","","01","영업/정상","01","영업","","","","","","10.00","","강원특별자치도 원주시 문막읍 반계리 2273-9","강원특별자치도 원주시 문막읍 반산1로 22, 1층","26362","세븐일레븐문막공단점","2023-09-26 16:43:26","U","2023-09-28 02:40:00","편의점","271231.975851184","422238.024801096","편의점","0","0","기타","자율","상수도전용","0","0","0","0","0","","0","0","N","10","","","",
"30","휴게음식점","07_24_05_P","4201000","4201000-104-2023-00267","2023-08-28","","01","영업/정상","01","영업","","","","","","13.80","","강원특별자치도 강릉시 연곡면 삼산리 451-26","강원특별자치도 강릉시 연곡면 소금강길 55, 1층","25400","산카페","2023-08-28 14:47:31","I","2023-08-30 00:18:41","커피숍","","","커피숍","0","0","기타","기타","지하수전용","0","0","0","0","0","","0","0","N","13.8","","","",
"31","휴게음식점","07_24_05_P","4201000","4201000-104-2023-00268","2023-08-28","","01","영업/정상","01","영업","","","","","","43.00","","강원특별자치도 강릉시 성남동 54-8","강원특별자치도 강릉시 중앙시장2길 41, 1층 (성남동)","25543","메밀애감자 중앙시장점","2024-08-23 14:23:59","U","2024-08-25 02:40:00","일반조리판매","367315.895199214","474010.759340879","일반조리판매","0","0","기타","기타","상수도전용","0","0","0","0","0","","0","0","N","39.09","","","",
"32","휴게음식점","07_24_05_P","4281000","4281000-104-2023-00013","2023-08-28","","01","영업/정상","01","영업","","","","","033 3355757","89.78","","강원특별자치도 평창군 대관령면 용산리 504-1","강원특별자치도 평창군 대관령면 올림픽로 787 (이나트)","25352","카페이나트(CAFFEINART)","2025-09-10 14:08:36","U","2025-09-12 02:40:00","아이스크림","347423.182114436","461349.982437164","아이스크림","1","0","","","상수도전용","0","0","0","0","0","","0","0","N","89.78","","","",
"33","휴게음식점","07_24_05_P","4281000","4281000-104-2023-00014","2023-08-28","","01","영업/정상","01","영업","","","","","033  3355757","127.46","","강원특별자치도 평창군 대관령면 용산리 504-1","강원특별자치도 평창군 대관령면 올림픽로 787 (이나트)","25352","스푼(SPOON)","2025-09-10 14:00:45","U","2025-09-12 02:40:00","아이스크림","347423.182114436","461349.982437164","아이스크림","1","0","","","전용상수도(특정시설의 자가용 수도)","0","0","0","0","0","","0","0","N","127.46","","","",
"34","휴게음식점","07_24_05_P","4201000","4201000-104-2023-00210","2023-07-04","","01","영업/정상","01","영업","","","","","","26.10","","강원특별자치도 강릉시 포남동 1104-2","강원특별자치도 강릉시 가작로274번길 1 (포남동)","25488","호우스","2025-08-27 13:25:41","U","2025-08-29 02:40:00","커피숍","367827.671372629","475879.24183426","커피숍","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","26.1","","","",
"35","휴게음식점","07_24_05_P","4211000","4211000-104-2023-00053","2023-09-13","","01","영업/정상","01","영업","","","","","","156.43","","강원특별자치도 동해시 이도동 272-1","강원특별자치도 동해시 이원길 168-1, 1층 (이도동)","25819","달달해,달(DALDALHAE,DAL)","2023-09-13 15:48:53","I","2023-09-15 00:18:04","커피숍","386644.732143983","444021.531288127","커피숍","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","156.43","","","",
