"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","가축분뇨 수집운반업","09_30_01_P","4181000","418100053199900007","1999-11-13","","03","폐업","2","폐업","2017-01-20","2014-10-01","2013-10-01","2013-10-01","033 264 6277","","200-112","강원특별자치도 춘천시 소양로2가 176-1","강원특별자치도 춘천시 소양로163번길 36  (소양로2가)","","대성환경산업","2017-01-23 09:49:18","I","2023-06-13 00:00:00","","263638.310017837","487720.194405249","분뇨등관련영업관리","","","","","0","","0",
"2","가축분뇨 수집운반업","09_30_01_P","4181000","418100053199800015","1998-12-23","","03","폐업","2","폐업","2016-03-14","","","","033 256 3500","","200-112","강원특별자치도 춘천시 소양로2가 176-1","강원특별자치도 춘천시 소양로163번길 36  (소양로2가)","","새마을 분뇨","2017-05-01 17:10:00","I","2023-06-13 00:00:00","","263638.310017837","487720.194405249","분뇨등관련영업관리","","","","","0","","0",
"3","가축분뇨 수집운반업","09_30_01_P","4181000","418100053201300001","2013-04-24","","03","폐업","2","폐업","2024-09-26","","","","","","200-140","강원특별자치도 춘천시 사농동 274-76","강원특별자치도 춘천시 옥산포길 13 (사농동)","","개별화물","2024-09-25 17:54:50","U","2024-09-27 02:40:00","","263481.774109677","491510.553500601","분뇨등관련영업관리","","","","","0","","0",
"4","가축분뇨 수집운반업","09_30_01_P","4181000","418100053202100003","2021-05-21","","03","폐업","2","폐업","2022-10-19","","","","","","","경기도 가평군 상면 행현리 50-2 201호","경기도 가평군 상면 축령로 48, 2층 201호","12448","더 베스트","2022-10-19 15:56:43","I","2023-06-13 00:00:00","폐기물 수집운반, 처리 및 원료재생업","232139.191404972","474480.175979422","분뇨등관련영업관리","폐기물 수집운반, 처리 및 원료재생업","","","","0","","0",
"5","가축분뇨 수집운반업","09_30_01_P","4181000","418100053201200001","2012-11-29","","01","영업/정상","3","영업","","","","","0332617182","","200-811","강원특별자치도 춘천시 신동면 팔미리 472 473번지","","","농업회사법인 유한회사 춘천양돈","2024-04-03 16:37:46","U","2024-04-05 02:40:00","","260935.912377941","479508.179060154","분뇨등관련영업관리","","","","","0","","0",
"6","가축분뇨 수집운반업","09_30_01_P","4181000","418100053201300002","2013-11-26","","01","영업/정상","3","영업","","","","","","","","강원특별자치도 춘천시 남산면 수동리 654","강원특별자치도 춘천시 남산면 추곡고개길 230","24465","그린바이오영농조합법인","2024-09-03 11:12:24","U","2024-09-05 02:40:00","","256698.153587733","473227.968376039","분뇨등관련영업관리","","","","","0","","0",
"7","가축분뇨 수집운반업","09_30_01_P","4191000","419100053200700002","2010-02-04","","03","폐업","2","폐업","2020-11-25","","","","033-747-0965","","","강원특별자치도 원주시 호저면 만종리 593-29","강원특별자치도 원주시 호저면 원문로 537-3, 다동 6호","26375","대성위생","2020-11-25 12:08:27","I","2023-06-13 00:00:00","축산분뇨 처리업","280003.349932821","428880.608546891","분뇨등관련영업관리","축산분뇨 처리업","","","","0","","0",
"8","가축분뇨 수집운반업","09_30_01_P","4191000","419100053198700003","2009-09-10","","01","영업/정상","3","영업","","","","","033-745-2231","","","강원특별자치도 원주시 소초면 흥양리 1450-1 나동 3호","강원특별자치도 원주시 소초면 치악로 2454, 나동 3호","26310","(합)문막원성위생공사 - 가축분뇨","2024-06-26 09:19:32","U","2024-06-28 02:40:00","분뇨 및 축산분뇨 처리업","287030.573463692","432666.679400134","분뇨등관련영업관리","분뇨 및 축산분뇨 처리업","","","","0","","0",
"9","가축분뇨 수집운반업","09_30_01_P","4191000","419100053200400001","2004-02-05","","01","영업/정상","3","영업","","","","","033-762-3680","","","강원특별자치도 원주시 학성동 991-2 원주축협마트 2층","강원특별자치도 원주시 원일로 233 (학성동)","26413","원주시양돈협회 영농조합법인","2024-02-07 16:53:26","U","2024-02-09 02:40:00","축산 관련 서비스업","283473.536558182","428693.830689917","분뇨등관련영업관리","축산 관련 서비스업","","","","0","","0",
"10","가축분뇨 수집운반업","09_30_01_P","4221000","422100053199900001","1999-05-13","","01","영업/정상","3","영업","","","","","","","","강원특별자치도 태백시 문곡동 102-1","강원특별자치도 태백시 사배리길 60-56 (문곡동)","26044","태백양돈연구회","2019-10-24 17:31:03","I","2023-06-13 00:00:00","","376729.782910522","404839.023969517","분뇨등관련영업관리","","","","","0","","0",
