"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","직원수","허가기간시작일자","허가기간종료일자",
"1","급수공사대행업","09_30_06_P","4181000","418100016202300009","2023-08-30","","01","영업/정상","11","정상","","","","","033-261-3900","","","강원특별자치도 춘천시 근화동 ***-**","강원특별자치도 춘천시 영서로 ****-* (근화동)","","(주)남광건설","2023-08-30 10:17:15","I","2023-09-01 00:18:42","","262638.225","486549.07","0","20230830","20260829",
"2","급수공사대행업","09_30_06_P","4181000","418100016202300010","2023-09-04","","01","영업/정상","11","정상","","","","","033-263-4763","","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 옛경춘로 ***-* (온의동)","","세운건설(주)","2023-09-04 17:23:57","I","2023-09-06 00:18:13","","262723.676448231","482680.968624377","0","20230904","20260903",
"3","급수공사대행업","09_30_06_P","4181000","418100016202300007","2023-07-17","","01","영업/정상","11","정상","","","","","033-244-8978","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 장안길 **","","(주)남토건설","2023-07-17 13:55:45","I","2023-07-19 00:18:55","","267159.57129252","482467.323293313","0","20230717","20260716",
"4","급수공사대행업","09_30_06_P","4181000","418100016202300008","2023-07-20","","01","영업/정상","11","정상","","","","","033-241-9836","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 우두상리길 *-* (우두동)","","국정건설(주)","2023-07-20 09:31:28","I","2023-07-22 00:18:52","","265252.086963969","489677.771596376","0","20230720","20260719",
"5","급수공사대행업","09_30_06_P","4181000","418100016201900011","2019-12-12","","01","영업/정상","11","정상","","","","","033-261-5747","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***-**","","(주)가경건설","2019-12-12 16:00:39","I","2023-06-13 00:00:00","","268745.049399604","484427.867628968","0","20191219","20221218",
"6","급수공사대행업","09_30_06_P","4181000","418100016202000014","2020-09-24","","01","영업/정상","11","정상","","","","","033)255-7897","","","강원특별자치도 춘천시 동면 만천리 ***-* 만천빌딩","강원특별자치도 춘천시 동면 만천로 **, 만천빌딩 *층","","(주)비앤씨건설","2020-09-24 15:00:05","I","2023-06-13 00:00:00","","267124.888872612","486688.51800364","0","20200924","20230923",
"7","급수공사대행업","09_30_06_P","4181000","418100016200600002","1982-07-19","","01","영업/정상","11","정상","","","","","263-5747","","","강원특별자치도 춘천시 동면 장학리 ***번지 *   호","","","후평수도공무소","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","0","19820719","20081231",
"8","급수공사대행업","09_30_06_P","4181000","418100016200600003","1977-12-27","","01","영업/정상","11","정상","","","","","2543100","","","강원특별자치도 춘천시 요선동  **번지 **호","","","삼일수도공무소","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","0","19771227","20081231",
"9","급수공사대행업","09_30_06_P","4181000","418100016200600004","1977-12-27","","01","영업/정상","11","정상","","","","","251-5468","","","강원특별자치도 춘천시 소양로*가  ***번지 *  호","","","효자수도공무소","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","0","19771227","20081231",
"10","급수공사대행업","09_30_06_P","4181000","418100016200600005","2008-07-02","","01","영업/정상","11","정상","","","","","243-6977","","","강원특별자치도 춘천시 후평동  ***번지 *  호","","","(합)우신건설","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","7","20080713","20100712",
"11","급수공사대행업","09_30_06_P","4181000","418100016200600006","2008-07-02","","01","영업/정상","11","정상","","","","","244-9541","","","강원특별자치도 춘천시 효자동  ***번지 **  호","","","(주)덕유건설","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","8","20080713","20100712",
"12","급수공사대행업","09_30_06_P","4181000","418100016200600007","2012-07-13","","01","영업/정상","11","정상","","","","","252-8797","","","강원특별자치도 춘천시 퇴계동  ***번지 *호","","","(합)삼정엔지니어링","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","8","20120713","20140712",
"13","급수공사대행업","09_30_06_P","4181000","418100016200600009","2016-11-11","","01","영업/정상","11","정상","","","","","033-262-9747","","","강원특별자치도 춘천시 동면 만천리 ***-**","강원특별자치도 춘천시 동면 만천양지길 ***","","(합)보광건설","2016-11-11 14:15:47","I","2023-06-13 00:00:00","","267654.810463875","487719.291333845","0","20161119","20191118",
"14","급수공사대행업","09_30_06_P","4181000","418100016200600010","2007-06-07","","01","영업/정상","11","정상","","","","","241-0494","","","강원특별자치도 춘천시 온의동  ***번지 *   호 *층","","","(합)토성건설","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","4","20070520","20090519",
"15","급수공사대행업","09_30_06_P","4181000","418100016200600011","2007-05-31","","01","영업/정상","11","정상","","","","","253-5044","","","강원특별자치도 춘천시 후평동  ***번지 *  호","","","(합)고광건설","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","5","20070602","20090601",
"16","급수공사대행업","09_30_06_P","4181000","418100016200800001","2016-11-11","","01","영업/정상","11","정상","","","","","033-254-8666","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 공원*길 **-* (퇴계동)","","(합)신진건설","2016-11-11 14:16:44","I","2023-06-13 00:00:00","","263622.681113762","484402.481538425","0","20161119","20191118",
"17","급수공사대행업","09_30_06_P","4181000","418100016200800002","2016-11-19","","01","영업/정상","11","정상","","","","","243-6614","","","강원특별자치도 춘천시 동내면 고은리 ***-*","강원특별자치도 춘천시 동내면 순환대로 ***-**","","(합)건일건설","2016-11-11 09:53:17","I","2023-06-13 00:00:00","","267997.133709191","483026.873763906","0","20080807","20191118",
"18","급수공사대행업","09_30_06_P","4181000","418100016201200001","2012-10-10","","01","영업/정상","11","정상","","","","","033-244-0455","","","강원특별자치도 춘천시 후평동  ***번지 **호","","","(합)다래건설","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","0","20121005","20141004",
"19","급수공사대행업","09_30_06_P","4181000","418100016201200002","2012-02-09","","01","영업/정상","11","정상","","","","","033-263-5747","","","강원특별자치도 춘천시 동면 장학리 ***번지 *호","","","(합)대호건설","2015-01-05 21:14:42","I","2023-06-13 00:00:00","","","","5","20120209","20140208",
"20","급수공사대행업","09_30_06_P","4181000","418100016201600001","2016-01-25","","01","영업/정상","11","정상","","","","","","","","","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","(합)한빛환경","2016-07-14 16:53:22","I","2023-06-13 00:00:00","","265426.851298193","487384.159796493","0","20160125","20180124",
"21","급수공사대행업","09_30_06_P","4181000","418100016201600002","2016-01-28","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 백석골길 *-*, 퇴계동동 ***호 (퇴계동)","","(합)대호건설","2016-07-14 16:53:01","I","2023-06-13 00:00:00","","263400.920425104","484041.232535641","0","20160210","20180209",
"22","급수공사대행업","09_30_06_P","4181000","418100016201600003","2016-02-01","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 동내면 고은리 ***-**","강원특별자치도 춘천시 동내면 고은길 **","","희영건설(주)","2016-07-14 16:56:01","I","2023-06-13 00:00:00","","268071.873816021","482615.262015683","0","20160210","20180209",
"23","급수공사대행업","09_30_06_P","4181000","418100016201600005","2016-02-26","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***","","(주)대영건설","2016-07-14 17:00:17","I","2023-06-13 00:00:00","","268793.931729711","484480.297928242","0","20160229","20180228",
"24","급수공사대행업","09_30_06_P","4181000","418100016201600006","2016-07-14","","01","영업/정상","11","정상","","","","","","","","","강원특별자치도 춘천시 남춘로**번길 **, *층 (퇴계동)","","(합)진보","2017-10-26 15:13:20","I","2023-06-13 00:00:00","","264463.715517845","484767.189610861","0","20160526","20180525",
"25","급수공사대행업","09_30_06_P","4181000","418100016201600007","2016-07-05","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","(주)보령건설","2016-07-14 15:51:26","I","2023-06-13 00:00:00","","265446.362562827","487341.159309234","0","20160713","20180712",
"26","급수공사대행업","09_30_06_P","4181000","418100016201600008","2016-07-11","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 백석골길 *-*, ***호 (퇴계동)","","(합)영흥디앤씨","2016-07-14 15:34:39","I","2023-06-13 00:00:00","","263400.920425104","484041.232535641","0","20160713","20180712",
"27","급수공사대행업","09_30_06_P","4181000","418100016201700006","2017-06-02","","01","영업/정상","11","정상","","","","","033-253-5044","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 우두상리길 *-* (우두동)","","(합)고광건설","2017-05-19 09:37:16","I","2023-06-13 00:00:00","","265252.086963969","489677.771596376","0","20170602","20200601",
"28","급수공사대행업","09_30_06_P","4181000","418100016202000008","2020-07-17","","01","영업/정상","11","정상","","","","","033-263-7858","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 후석로**번길 ** (석사동)","","티에스건설 (주)","2020-07-17 16:36:08","I","2023-06-13 00:00:00","","265006.260466628","484475.78826163","0","20200721","20230720",
"29","급수공사대행업","09_30_06_P","4181000","418100016202000010","2020-08-31","","01","영업/정상","11","정상","","","","","261-3900","","","강원특별자치도 춘천시 근화동 ***-**","강원특별자치도 춘천시 영서로 ****-* (근화동)","","(주)남광건설","2020-09-02 14:38:33","I","2023-06-13 00:00:00","","262638.225","486549.07","0","20200901","20230831",
"30","급수공사대행업","09_30_06_P","4181000","418100016202000011","2020-09-07","","01","영업/정상","11","정상","","","","","033-263-4763","","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 옛경춘로 ***-* (온의동)","","세운건설(주)","2020-09-07 16:40:11","I","2023-06-13 00:00:00","","262723.676448231","482680.968624377","0","20200907","20230906",
"31","급수공사대행업","09_30_06_P","4181000","418100016202000012","2020-09-11","","01","영업/정상","11","정상","","","","","033-244-4900","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 공원*길 * (퇴계동)","","합자회사 효성건설","2024-10-24 15:20:37","U","2024-10-26 02:40:00","","263717.14537094","484543.106368181","0","20200911","20230905",
"32","급수공사대행업","09_30_06_P","4181000","418100016202000013","2020-09-24","","01","영업/정상","11","정상","","","","","033)255-9982","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 세실로***번길 *-* (후평동)","","(주)대양건설","2024-10-24 15:20:19","U","2024-10-26 02:40:00","","266611.103117044","486223.954150638","0","20200924","20230921",
"33","급수공사대행업","09_30_06_P","4181000","418100016202000015","2020-10-17","","01","영업/정상","11","정상","","","","","033)262-1824","","","강원특별자치도 춘천시 동내면 학곡리 ***-*","강원특별자치도 춘천시 동내면 학곡서*길 **","","돌사랑건설(주)","2020-10-13 17:24:54","I","2023-06-13 00:00:00","","266640.425799565","481628.292341411","0","20201017","20231016",
"34","급수공사대행업","09_30_06_P","4181000","418100016202000016","2020-10-12","","01","영업/정상","11","정상","","","","","033)262-2109","","","강원특별자치도 춘천시 효자동 ***-** 춘천동부새마을금고효자동지소","강원특별자치도 춘천시 효자로 ***, 춘천동부새마을금고효자동지소 (효자동)","","(합)서현개발","2020-10-13 17:25:55","I","2023-06-13 00:00:00","","264510.454517541","485918.680091633","0","20201012","20231011",
"35","급수공사대행업","09_30_06_P","4181000","418100016202100001","2021-01-22","","01","영업/정상","11","정상","","","","","033)264-8846","","","강원특별자치도 춘천시 신동면 증리 ***-*","강원특별자치도 춘천시 신동면 김유정로 ****-**","","(합)한빛환경","2021-01-22 15:08:23","I","2023-06-13 00:00:00","","264088.540031621","481676.340341332","0","20210124","20240123",
"36","급수공사대행업","09_30_06_P","4181000","418100016202100002","2021-01-28","","01","영업/정상","11","정상","","","","","033-262-9443","","","강원특별자치도 춘천시 신동면 증리 ***-*","강원특별자치도 춘천시 신동면 김유정로 ****-**","","맑은물주식회사","2021-01-28 17:15:25","I","2023-06-13 00:00:00","","264088.540031621","481676.340341332","0","20210129","20240128",
"37","급수공사대행업","09_30_06_P","4181000","418100016202100003","2021-01-28","","01","영업/정상","11","정상","","","","","033-257-2126","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천순환로 ***","","투에스건설(주)","2021-01-28 17:25:37","I","2023-06-13 00:00:00","","266140.86776281","489621.046588032","0","20210129","20240128",
"38","급수공사대행업","09_30_06_P","4181000","418100016202100004","2021-02-05","","01","영업/정상","11","정상","","","","","033-263-5747","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천로 ***","","(합)대호건설","2023-06-28 13:59:12","U","2023-06-30 02:40:00","","266750.518920082","488187.425478583","0","20210212","20240211",
"39","급수공사대행업","09_30_06_P","4181000","418100016202100005","2021-02-05","","01","영업/정상","11","정상","","","","","033-243-7741","","","강원특별자치도 춘천시 동내면 고은리 ***-**","강원특별자치도 춘천시 동내면 고은길 ***","","희영건설(주)","2024-01-30 16:01:22","U","2024-02-01 02:40:00","","268549.545932456","482126.391547813","0","20210210","20240209",
"40","급수공사대행업","09_30_06_P","4181000","418100016202100006","2021-02-25","","01","영업/정상","11","정상","","","","","033)261-5595","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***","","주식회사 대영건설","2021-02-25 17:34:56","I","2023-06-13 00:00:00","","268793.931729711","484480.297928242","0","20210227","20240226",
"41","급수공사대행업","09_30_06_P","4181000","418100016202100007","2021-06-22","","01","영업/정상","11","정상","","","","","033)243-8002","","","강원특별자치도 춘천시 서면 방동리 ***-*","강원특별자치도 춘천시 서면 신숭겸로 ***-**, ***호","","합자회사 영흥디앤씨","2021-06-22 16:41:56","I","2023-06-13 00:00:00","","259005.733136585","488230.611053893","0","20210625","20240624",
"42","급수공사대행업","09_30_06_P","4181000","418100016201600009","2016-07-11","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 동내면 고은리 ***-**","강원특별자치도 춘천시 동내면 고은길 **","","(합)우신건설","2016-07-14 15:52:20","I","2023-06-13 00:00:00","","268071.873816021","482615.262015683","0","20160713","20180712",
"43","급수공사대행업","09_30_06_P","4181000","418100016201600010","2016-09-30","","01","영업/정상","11","정상","","","","","033-244-0455","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 공단로 ** (후평동)","","(합)다래건설","2016-11-11 14:18:21","I","2023-06-13 00:00:00","","265886.688731123","487544.046076699","0","20161005","20191004",
"44","급수공사대행업","09_30_06_P","4181000","418100016201600011","2016-11-11","","01","영업/정상","11","정상","","","","","033-243-6614","","","강원특별자치도 춘천시 동내면 고은리 ***-*","강원특별자치도 춘천시 동내면 순환대로 ***-**","","(합)건일건설","2016-11-11 14:11:15","I","2023-06-13 00:00:00","","267997.133709191","483026.873763906","0","20161119","20191118",
"45","급수공사대행업","09_30_06_P","4181000","418100016201600012","2016-11-11","","01","영업/정상","11","정상","","","","","033-262-9747","","","강원특별자치도 춘천시 동면 만천리 ***-**","강원특별자치도 춘천시 동면 만천양지길 ***","","(합)보광건설","2016-11-11 14:22:32","I","2023-06-13 00:00:00","","267654.810463875","487719.291333845","0","20161119","20191118",
"46","급수공사대행업","09_30_06_P","4181000","418100016201600013","2016-11-11","","01","영업/정상","11","정상","","","","","033-254-8666","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 공원*길 **-* (퇴계동)","","(합)신진건설","2016-11-11 14:26:24","I","2023-06-13 00:00:00","","263622.681113762","484402.481538425","0","20161119","20191118",
"47","급수공사대행업","09_30_06_P","4181000","418100016201600014","2016-12-12","","01","영업/정상","11","정상","","","","","033-243-9393","","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 옛경춘로 ***-** (온의동)","","이지건설(주)","2016-12-13 16:15:44","I","2023-06-13 00:00:00","","262732.555498085","483368.974338652","0","20161212","20191211",
"48","급수공사대행업","09_30_06_P","4181000","418100016201600015","2016-12-19","","01","영업/정상","11","정상","","","","","033-261-5747","","","강원특별자치도 춘천시 동내면 고은리 ***-*","강원특별자치도 춘천시 동내면 동내로 ***","","(주)가경건설","2016-12-13 16:15:59","I","2023-06-13 00:00:00","","268887.89671976","482926.024357289","0","20161219","20191218",
"49","급수공사대행업","09_30_06_P","4181000","418100016201600016","2017-01-01","","01","영업/정상","11","정상","","","","","033-263-5747","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천로 ***","","후평수도공무소","2016-12-12 17:31:04","I","2023-06-13 00:00:00","","266750.518920082","488187.425478583","0","20170101","20191231",
"50","급수공사대행업","09_30_06_P","4181000","418100016201700001","2017-02-20","","01","영업/정상","11","정상","","","","","033-242-0378","","","강원특별자치도 춘천시 동면 장학리 *","강원특별자치도 춘천시 동면 가락재로 *","","(주)정수건설","2017-02-20 14:19:57","I","2023-06-13 00:00:00","","268108.428366998","488822.913158491","0","20170220","20200219",
"51","급수공사대행업","09_30_06_P","4181000","418100016201700002","2016-02-10","","01","영업/정상","11","정상","","","","","033-243-7741","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길**번길 *-** (온의동)","","(주)희영건설","2017-03-02 11:40:33","I","2023-06-13 00:00:00","","263252.642531248","484374.581182559","0","20160210","20180209",
"52","급수공사대행업","09_30_06_P","4181000","418100016201700003","2017-03-24","","01","영업/정상","11","정상","","","","","033-251-9574","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","(주)거인건설","2017-03-08 17:43:40","I","2023-06-13 00:00:00","","265426.851298193","487384.159796493","0","20170324","20200323",
"53","급수공사대행업","09_30_06_P","4181000","418100016201700004","2017-03-09","","01","영업/정상","11","정상","","","","","033-262-4507","","","강원특별자치도 춘천시 동내면 사암리 ***-*","강원특별자치도 춘천시 동내면 사래울*길 ***","","(주)다올","2017-03-09 09:48:23","I","2023-06-13 00:00:00","","268233.211482143","480501.185729246","0","20170309","20200308",
"54","급수공사대행업","09_30_06_P","4181000","418100016201800004","2018-02-12","","01","영업/정상","11","정상","","","","","033-263-5747","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천로 ***","","(합)대호건설","2018-02-12 18:03:29","I","2023-06-13 00:00:00","","266750.518920082","488187.425478583","0","20180212","20210211",
"55","급수공사대행업","09_30_06_P","4181000","418100016201800005","2018-02-27","","01","영업/정상","11","정상","","","","","033-261-5575","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***","","(주)대영건설","2018-02-27 16:05:45","I","2023-06-13 00:00:00","","268793.931729711","484480.297928242","0","20180227","20210226",
"56","급수공사대행업","09_30_06_P","4181000","418100016201800006","2018-03-29","","01","영업/정상","11","정상","","","","","033-264-8846","","","강원특별자치도 춘천시 신동면 증리 ***-*","강원특별자치도 춘천시 신동면 김유정로 ****-**","","(합)한빛환경","2018-03-29 14:58:32","I","2023-06-13 00:00:00","","264088.540031621","481676.340341332","0","20180329","20210328",
"57","급수공사대행업","09_30_06_P","4181000","418100016201800007","2018-03-29","","01","영업/정상","11","정상","","","","","033-255-3980","","","강원특별자치도 춘천시 온의동 **-**","강원특별자치도 춘천시 스포츠타운길 *** (온의동)","","(주)강산측량설계공사","2018-03-29 14:58:33","I","2023-06-13 00:00:00","","262762.329959774","485322.187894293","0","20180329","20210328",
"58","급수공사대행업","09_30_06_P","4181000","418100016201800008","2018-06-25","","01","영업/정상","11","정상","","","","","0332438002","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 백석골길 *-* (퇴계동)","","합자회사 영흥디앤씨","2018-06-25 11:11:12","I","2023-06-13 00:00:00","","263400.920425104","484041.232535641","0","20180625","20210624",
"59","급수공사대행업","09_30_06_P","4181000","418100016201800009","2018-06-25","","01","영업/정상","11","정상","","","","","0332436651","","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 남춘로**번길 ** (퇴계동)","","합자회사 진보","2018-06-25 11:11:13","I","2023-06-13 00:00:00","","264463.715517845","484767.189610861","0","20180625","20210624",
"60","급수공사대행업","09_30_06_P","4181000","418100016201800010","2018-07-03","","01","영업/정상","11","정상","","","","","033-252-1246","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","(주)보령건설","2018-07-03 17:04:43","I","2023-06-13 00:00:00","","265426.851298193","487384.159796493","0","20180703","20210702",
"61","급수공사대행업","09_30_06_P","4181000","418100016201800011","2018-07-13","","01","영업/정상","11","정상","","","","","0332436977","","","강원특별자치도 춘천시 동내면 고은리 ***-**","강원특별자치도 춘천시 동내면 고은길 **","","(합)우신건설","2018-07-12 09:37:05","I","2023-06-13 00:00:00","","268071.873816021","482615.262015683","0","20180713","20210712",
