"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"1","환경전문공사업","09_30_16_P","6530000","653000009202300009","2023-08-08","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 속초시 교동 949-11","강원특별자치도 속초시 동해대로 4293 (교동)","","주식회사 청수이앤씨","2023-10-27 16:19:24","U","2023-10-29 02:40:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"2","환경전문공사업","09_30_16_P","6530000","653000009202300007","2024-11-20","","01","영업/정상","N","신규","","","","","","","26349","강원특별자치도 원주시 호저면 만종리 328-8","강원특별자치도 원주시 호저면 우무개로 349","26349","(주)우석이엔씨","2024-11-20 09:48:01","U","2024-11-22 02:40:00","","","","0","환경전문공사업","0","","5113032025","26349","0","328","8","","","","","","51130","5113032025","0","3219038","","0","349","0","26349",
"3","환경전문공사업","09_30_16_P","6530000","653000009202300008","2023-08-01","","01","영업/정상","N","신규","","","","","","","26383","강원특별자치도 원주시 무실동 1724-1 매머드시티2차 203호","강원특별자치도 원주시 시청로 11-1, 매머드시티2차 2층 203호 (무실동)","26383","(주)우석이엔씨","2023-08-01 16:55:21","I","2023-08-03 00:18:51","","281668.683897072","426997.487046609","0","환경전문공사업","0","","5113011500","26383","0","1724","1","","","매머드시티2차","","203","51130","5113011500","1","3219035","매머드시티2차","0","11","1","26383",
"4","환경전문공사업","09_30_16_P","6530000","653000009202300012","2025-03-24","","01","영업/정상","N","신규","","","","","","","25422","강원특별자치도 강릉시 주문진읍 교항리 1207-10","강원특별자치도 강릉시 주문진읍 농공단지길 40-22","25422","(주)대양환경기술","2025-03-24 13:19:29","U","2025-03-26 02:40:00","","360689.147050536","486906.388323301","41.11","환경전문공사업","0","","5115025022","25422","0","1207","10","","","","","","51150","5115025022","0","4460314","","0","40","22","25422",
"5","환경전문공사업","09_30_16_P","6530000","653000009202300013","2025-08-12","","01","영업/정상","N","신규","","","","","","","26383","강원특별자치도 원주시 무실동 1724-1 매머드시티2차 203호","강원특별자치도 원주시 시청로 11-1, 매머드시티2차 -동 2층 203호 (무실동)","26383","(주)우석이엔씨","2025-08-12 13:08:41","U","2025-08-14 02:40:00","","281668.683897072","426997.487046609","0","환경전문공사업","0","","5113011500","26383","0","1724","1","","","매머드시티2차","","203","51130","5113011500","1","3219035","매머드시티2차","0","11","1","26383",
"6","환경전문공사업","09_30_16_P","6530000","653000009202300011","2025-06-16","","01","영업/정상","N","신규","","","","","","","26308","강원특별자치도 원주시 소초면 수암리 755-2","강원특별자치도 원주시 소초면 치악로 2554","26308","(주)혜성산업","2025-06-16 09:57:07","U","2025-06-18 02:40:00","","287586.80993373","433474.350879781","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"7","환경전문공사업","09_30_16_P","6530000","653000009202300005","2023-07-24","","01","영업/정상","N","신규","","","","","","","25422","강원특별자치도 강릉시 주문진읍 교항리 1207-10","강원특별자치도 강릉시 주문진읍 농공단지길 40-22","25422","케이엠네이쳐(주)","2023-07-24 09:15:00","I","2023-07-26 00:18:54","","360689.147050536","486906.388323301","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"8","환경전문공사업","09_30_16_P","6530000","653000009202300006","2023-07-24","","01","영업/정상","N","신규","","","","","","","26460","강원특별자치도 원주시 반곡동 1860-5 B동 512호","강원특별자치도 원주시 혁신로 19, B동 512호 (반곡동)","26460","(주)우천환경이엔지","2023-07-24 09:27:25","I","2023-07-26 00:18:54","","286530.401496353","425229.266366716","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"9","환경전문공사업","09_30_16_P","6530000","653000009202300010","2023-08-10","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 철원군 갈말읍 군탄리 779-3 씨아이바이오텍(주)","강원특별자치도 철원군 갈말읍 풍전길 44, 씨아이바이오텍(주)","","주식회사 에코이에스","2023-08-10 09:40:36","I","2023-08-12 00:18:34","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"10","환경전문공사업","09_30_16_P","6530000","653000009202300004","2023-07-21","","01","영업/정상","N","신규","","","","","","","26349","강원특별자치도 원주시 호저면 만종리 217-1","강원특별자치도 원주시 호저면 우무개로 326","26349","(주)삼성환경엔지니어링","2023-07-21 09:33:06","I","2023-07-23 00:19:03","","280935.024259656","429774.133074899","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
