"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"1","요양보호사교육기관","11_49_01_P","6530000","202365300000040001-20230829","2023-08-29","","01","영업/정상","0","운영","","","","","0335327809","","","강원특별자치도 동해시 천곡동 1078-4 정현빌딩","강원특별자치도 동해시 천곡로 56, 정현빌딩 4층 (천곡동)","","이레요양보호사교육원","2025-09-22 14:06:02","U","2025-09-24 02:40:00","","","","","","","",
"2","요양보호사교육기관","11_49_01_P","6530000","202165300000040007-20210730","2021-07-30","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 원주시 개운동 396-24","강원특별자치도 원주시 행구로 14-2, 은아빌딩 3층 (개운동)","","온맘터치 원주요양보호사교육원","2023-08-16 16:06:39","U","2025-03-12 02:40:00","","","","","","","",
"3","요양보호사교육기관","11_49_01_P","6530000","201165300000040046-20110214","2011-02-14","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 춘천시 운교동 174-4","강원특별자치도 춘천시 금강로 114, 4층(운교동)","","희망요양보호사교육원","2023-11-17 09:53:34","U","2025-03-12 02:40:00","","","","","","","",
"4","요양보호사교육기관","11_49_01_P","6530000","202465300000040005-20240925","2024-09-25","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 속초시 조양동 1034-4 조양동제일프라자 505호","강원특별자치도 속초시 동해대로 4024, 조양동제일프라자 505호 (조양동)","51210","설빛요양보호사교육원","2025-03-18 13:36:34","U","2025-03-20 02:40:00","","339623.798653472","522007.571747617","","","","",
"5","요양보호사교육기관","11_49_01_P","6530000","201765300000040001-20171124","2017-11-24","","01","영업/정상","0","운영","","","","","0332640016","","","강원특별자치도 춘천시 석사동 664번지","강원특별자치도 춘천시 후석로 44, 2층 (석사동)","","춘천다사랑요양보호사교육원","2024-01-12 09:29:53","U","2025-03-12 02:40:00","","","","","","","",
"6","요양보호사교육기관","11_49_01_P","6530000","202465300000040004-20240618","2024-06-18","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 영월군 영월읍 하송리 산 55번지 세경대학","강원특별자치도 영월군 영월읍 하송로 197, 세경대학 3층","51750","세경대학교 요양보호사교육원","2025-09-01 10:33:28","U","2025-09-03 02:40:00","","328995.295721148","409063.213320207","","","","",
"7","요양보호사교육기관","11_49_01_P","6530000","202465300000040001-20240409","2024-04-09","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 홍천군 홍천읍 희망리 332-26","강원특별자치도 홍천군 홍천읍 신장대로 46, 3층","51720","홍천요양보호사교육원","2025-06-11 16:19:05","U","2025-06-13 02:40:00","","277664.820588455","465667.009213842","","","","",
"8","요양보호사교육기관","11_49_01_P","6530000","201465300000040002-20140527","2014-05-27","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 속초시 교동 881-1","강원특별자치도 속초시 청대로 347, 4층 (교동)","51210","메디컬간호학원부설 요양보호사교육원","2024-03-22 15:16:18","U","2025-03-12 02:40:00","","337630.117437748","522791.03139868","","","","",
"9","요양보호사교육기관","11_49_01_P","6530000","201365300000040004-20130731","2013-07-31","","01","영업/정상","0","운영","","","","","0337614578","","","강원특별자치도 원주시 단구동 1511-1","강원특별자치도 원주시 서원대로 392, 스타프라자 4층,6층 (단구동)","51130","사랑간호학원부설 요양보호사교육원","2024-04-24 13:09:10","U","2025-03-12 02:40:00","","283987.58688959","425866.809060317","","","","",
"10","요양보호사교육기관","11_49_01_P","6530000","202165300000040009-20211117","2021-11-17","","01","영업/정상","0","운영","","","","","0334412141","","","강원특별자치도 화천군 화천읍 아리 244-30","강원특별자치도 화천군 화천읍 산수화로1길 22-9, 2층","","동행요양보호사교육원","2024-02-21 13:22:11","U","2025-03-12 02:40:00","","","","","","","",
"11","요양보호사교육기관","11_49_01_P","6530000","202265300000040001-20220113","2022-01-13","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 원주시 관설동 1493-5","강원특별자치도 원주시 치악로 1535, 4층(관설동)","","우리마더요양보호사교육원","2025-08-08 10:52:53","U","2025-08-10 02:40:00","","","","","","","",
"12","요양보호사교육기관","11_49_01_P","6530000","202565300000040006-20250812","2025-08-12","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 태백시 황지동 266-38","강원특별자치도 태백시 황지로 212-1, 1층 (황지동)","51190","청담요양보호사교육원","2025-08-12 17:59:53","I","2025-08-14 00:20:43","","376475.604499874","410130.588898907","","","","",
"13","요양보호사교육기관","11_49_01_P","6530000","202565300000040005-20250723","2025-07-23","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 홍천군 홍천읍 신장대리 49-3 미진타워 402호","강원특별자치도 홍천군 홍천읍 홍천로 372, 미진타워 4층 2호","51720","고려요양보호사교육원 홍천점","2025-07-23 09:22:24","I","2025-07-25 00:20:02","","278139.495369835","465572.332691707","","","","",
"14","요양보호사교육기관","11_49_01_P","6530000","202565300000040008-20250904","2025-09-04","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 평창군 평창읍 하리 58-50","강원특별자치도 평창군 평창읍 문화길 66-3, 4층","","아리요양보호사교육원","2025-09-04 09:22:09","I","2025-09-06 00:20:02","","","","","","","",
"15","요양보호사교육기관","11_49_01_P","6530000","202565300000040003-20250225","2025-02-25","","01","영업/정상","0","운영","","","","","0332445960","","","강원특별자치도 춘천시 효자동 622-4","강원특별자치도 춘천시 백령로 153, 3층 (효자동)","","명성협동조합1호 요양보호사교육원","2025-09-22 14:21:16","I","2025-09-24 00:20:11","","","","","","","",
"16","요양보호사교육기관","11_49_01_P","6530000","202565300000040007-20250822","2025-08-22","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 춘천시 퇴계동 631-3","강원특별자치도 춘천시 영서로 2261, 4층 (퇴계동)","51110","선한요양보호사교육원","2025-08-22 20:22:53","I","2025-08-24 00:20:40","","263546.219540296","484833.369695126","","","","",
"17","요양보호사교육기관","11_49_01_P","6530000","202565300000040009-20250908","2025-09-08","","01","영업/정상","0","운영","","","","","0332445960","","","강원특별자치도 춘천시 우두동 1053-7","강원특별자치도 춘천시 신흥길5번길 4 (우두동)","","(주)명성그룹요양보호사교육원","2025-09-08 14:48:34","I","2025-09-10 00:20:53","","","","","","","",
"18","요양보호사교육기관","11_49_01_P","6530000","202565300000040004-20250618","2025-06-18","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 원주시 개운동 396-24","강원특별자치도 원주시 행구로 14-2, 3층 (개운동)","51130","온맘터치원주요양보호사교육원","2025-06-17 18:31:21","I","2025-06-19 00:20:02","","284769.606262634","426972.060367003","","","","",
"19","요양보호사교육기관","11_49_01_P","6530000","202565300000040001-20250107","2025-01-07","","01","영업/정상","0","운영","","","","","0336100101","","","강원특별자치도 강릉시 홍제동 1009번지","강원특별자치도 강릉시 공제로 357, 강릉영동대학미래융합교육관 3층 (홍제동)","","강릉영동대학교 부설 요양보호사교육원","2025-03-20 14:38:58","I","2025-03-22 00:10:24","","","","","","","",
"20","요양보호사교육기관","11_49_01_P","6530000","202565300000040001-20250225","2025-02-25","","01","영업/정상","0","운영","","","","","0332445960","","","강원특별자치도 춘천시 효자동 622-4","강원특별자치도 춘천시 백령로 153, 3층 (효자동)","","명성협동조합1호 요양보호사교육원","2025-02-27 10:54:48","U","2025-03-12 02:40:00","","","","","","","",
"21","요양보호사교육기관","11_49_01_P","6530000","202465300000040006-20241120","2024-11-20","","01","영업/정상","0","운영","","","","","0336471255","","","강원특별자치도 강릉시 포남동 898-21","강원특별자치도 강릉시 용지각길 20, 3층 (포남동)","","강릉요양보호사교육원","2025-03-21 17:10:35","U","2025-03-23 02:40:00","","","","","","","",
